Testing SD card write operations: 1970-01-01 02:00:04
2022-05-30 08:06:34: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-30 08:06:34: {'ssid':'T28', 'bssid':'694aa31ea1d8e64e97190c4d86acb6e649aacfe09af5baf9488282cfd7d1f13e', 'sec':5, 'channel':6, 'rssi':-84}
2022-05-30 08:06:34: {'ssid':'T29', 'bssid':'a9e273156c30e8d91f23cd4ae94ba6aa5792e2ba65bf14f9cd7a4864bd75dd4a', 'sec':3, 'channel':10, 'rssi':-92}
2022-05-30 08:06:36: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-87}
2022-05-30 08:06:38: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-30 08:06:40: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-30 08:06:40: {'ssid':'T28', 'bssid':'b849d96ae7c7f24c29e03114bed82678793d5ec4ba800d5001877f2ec0d6c72c', 'sec':5, 'channel':10, 'rssi':-92}
2022-05-30 08:06:42: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-55}
2022-05-30 08:06:45: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-63}
2022-05-30 08:06:47: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-47}
2022-05-30 08:06:47: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:06:49: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:06:51: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-41}
2022-05-30 08:06:53: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-45}
2022-05-30 08:06:55: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-44}
2022-05-30 08:06:56: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:07:09: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-85}
2022-05-30 08:07:11: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-68}
2022-05-30 08:07:13: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-68}
2022-05-30 08:07:17: {'ssid':'T210', 'bssid':'e540d60ffa671a3a4339cacf7cb7bc8c52078217aafa2cb692d6530ef5a0da69', 'sec':3, 'channel':11, 'rssi':-94}
