Testing SD card write operations: 2022-06-26 11:46:39
2022-06-26 11:47:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b146ee26d1c0d78d1584feae78a5ca41c264891b0ebfdcd07dcbca48866c5fc2', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b146ee26d1c0d78d1584feae78a5ca41c264891b0ebfdcd07dcbca48866c5fc2', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8001ac2da7d5cc04c8d927d2ea37cab8b64df86fdecb2c4d76f1d9b2eb659cc0', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '44205170d2cdba1722006a44895e186412136c5c9e66810d8c4dd4382c2f64f7', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
