Testing SD card write operations: 2022-05-20 21:16:18
2022-05-20 21:16:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ba909a77f7e988f5bf0a830713fa2c26c241568f4ce6a8bd2a645dd134ee2187', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:56: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '0e9761314b1cb1f91e720e420285ff6aebac0c08556fb7cbb9c86f2fa70c99f7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:56: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '0e9761314b1cb1f91e720e420285ff6aebac0c08556fb7cbb9c86f2fa70c99f7', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'acea0bdc93eb133f14eec0386388124aab705f3c19245d04c07a1128e81cb21c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:59: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '0e9761314b1cb1f91e720e420285ff6aebac0c08556fb7cbb9c86f2fa70c99f7', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:17:00: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '0e9761314b1cb1f91e720e420285ff6aebac0c08556fb7cbb9c86f2fa70c99f7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:17:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc985644b0ae2c7b56185728e80fa696d52fe1a396357fe36ee64f6150416b2b', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:17:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '76afb5d3f2beec6387492f2bb8cc60f2e0d294014ea810d0ce3ab28dca60c180', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-05-20 21:17:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ba909a77f7e988f5bf0a830713fa2c26c241568f4ce6a8bd2a645dd134ee2187', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:17:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '96247ed49962edf6a67bb9a6faeb32421af7b607de17272a611b20abbfee6764', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:17:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '96247ed49962edf6a67bb9a6faeb32421af7b607de17272a611b20abbfee6764', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:17:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:17:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '96247ed49962edf6a67bb9a6faeb32421af7b607de17272a611b20abbfee6764', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:17:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '96247ed49962edf6a67bb9a6faeb32421af7b607de17272a611b20abbfee6764', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:17:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '97b6ee0cc77e4c51b1f1cde29d8a05aabbad6e314672e26f9275a5253bc8e0ed', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:17:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6000036df5889a0ae92bc0fe1ecb8a8fd47cba3ea786e577e558586a6195bac0', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:17:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc985644b0ae2c7b56185728e80fa696d52fe1a396357fe36ee64f6150416b2b', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:17:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '97b6ee0cc77e4c51b1f1cde29d8a05aabbad6e314672e26f9275a5253bc8e0ed', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:17:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '97b6ee0cc77e4c51b1f1cde29d8a05aabbad6e314672e26f9275a5253bc8e0ed', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:17:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:17:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:17:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:17:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:17:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '96247ed49962edf6a67bb9a6faeb32421af7b607de17272a611b20abbfee6764', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:17:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
