Testing SD card write operations: 2022-05-20 21:03:46
2022-05-20 21:06:29: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-83}
2022-05-20 21:06:31: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-83}
2022-05-20 21:06:33: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-87}
2022-05-20 21:06:35: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-64}
2022-05-20 21:06:36: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-67}
2022-05-20 21:06:38: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-69}
2022-05-20 21:06:40: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-69}
2022-05-20 21:06:42: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-62}
2022-05-20 21:06:43: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-74}
2022-05-20 21:06:45: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-75}
2022-05-20 21:06:48: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-74}
2022-05-20 21:06:49: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-64}
2022-05-20 21:06:51: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-69}
2022-05-20 21:06:53: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-77}
2022-05-20 21:06:55: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-69}
2022-05-20 21:06:57: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-66}
2022-05-20 21:06:59: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-65}
2022-05-20 21:07:00: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-60}
2022-05-20 21:07:02: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-64}
2022-05-20 21:07:04: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-66}
2022-05-20 21:07:06: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-77}
2022-05-20 21:07:08: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-65}
2022-05-20 21:07:10: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-64}
2022-05-20 21:07:12: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-62}
2022-05-20 21:07:13: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-69}
2022-05-20 21:07:15: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-76}
2022-05-20 21:07:17: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-67}
2022-05-20 21:07:19: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-69}
2022-05-20 21:07:21: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-72}
2022-05-20 21:07:23: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-63}
2022-05-20 21:07:24: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-68}
2022-05-20 21:07:26: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-66}
2022-05-20 21:07:28: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-65}
2022-05-20 21:07:30: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-70}
2022-05-20 21:07:32: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-62}
2022-05-20 21:07:34: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-62}
2022-05-20 21:07:36: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-66}
2022-05-20 21:07:37: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-70}
2022-05-20 21:07:39: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-81}
