Testing SD card write operations: 2022-05-20 09:14:08
2022-05-20 09:14:52: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-76}
2022-05-20 09:14:52: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-76}
2022-05-20 09:14:54: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-20 09:14:54: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-75}
2022-05-20 09:14:54: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-75}
2022-05-20 09:14:56: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-20 09:14:56: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-74}
2022-05-20 09:14:56: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-74}
2022-05-20 09:14:57: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-20 09:14:57: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-75}
2022-05-20 09:14:57: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-75}
2022-05-20 09:14:59: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-20 09:14:59: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-74}
2022-05-20 09:14:59: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-74}
2022-05-20 09:15:01: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-53}
2022-05-20 09:15:01: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-74}
2022-05-20 09:15:01: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-75}
2022-05-20 09:15:03: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-20 09:15:03: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-75}
2022-05-20 09:15:03: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-76}
2022-05-20 09:15:05: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-49}
2022-05-20 09:15:05: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-76}
2022-05-20 09:15:05: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-76}
2022-05-20 09:15:07: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-20 09:15:07: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-71}
2022-05-20 09:15:07: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-72}
2022-05-20 09:15:09: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-49}
2022-05-20 09:15:09: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-71}
2022-05-20 09:15:09: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-71}
2022-05-20 09:15:11: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-49}
2022-05-20 09:15:11: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-72}
2022-05-20 09:15:11: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-72}
2022-05-20 09:15:13: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-20 09:15:13: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-71}
2022-05-20 09:15:13: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-71}
2022-05-20 09:15:14: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-49}
2022-05-20 09:15:14: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-73}
2022-05-20 09:15:14: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-73}
2022-05-20 09:15:16: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-20 09:15:16: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-76}
2022-05-20 09:15:16: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-76}
2022-05-20 09:15:18: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-53}
2022-05-20 09:15:20: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-20 09:15:20: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-76}
2022-05-20 09:15:20: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-76}
2022-05-20 09:15:22: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-20 09:15:22: {'ssid':'U11', 'bssid':'fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635', 'sec':5, 'channel':1, 'rssi':-75}
2022-05-20 09:15:22: {'ssid':'U12', 'bssid':'5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957', 'sec':0, 'channel':1, 'rssi':-75}
2022-05-20 09:15:24: {'ssid':'U10', 'bssid':'09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1', 'sec':3, 'channel':6, 'rssi':-54}
