Testing SD card write operations: 2022-06-26 07:30:23
2022-06-26 07:31:17: {'Acceleration': '(0.05847168, 0.1125488, 0.9852295)', 'Roll': '-4.046976', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-7.494961'}
2022-06-26 07:31:18: {'Acceleration': '(0.06738281, 0.112915, 1.015747)', 'Roll': '-3.270686', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-7.21045'}
2022-06-26 07:31:18: {'Acceleration': '(0.06542969, 0.112915, 0.9906006)', 'Roll': '-3.778927', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-8.137136'}
2022-06-26 07:31:19: {'Acceleration': '(0.06274414, 0.1108398, 0.9919434)', 'Roll': '-3.619351', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.363175'}
2022-06-26 07:31:20: {'Acceleration': '(0.04516602, 0.1204834, 1.00769)', 'Roll': '-2.566355', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-6.811366'}
2022-06-26 07:31:21: {'Acceleration': '(0.05664063, 0.126709, 0.9952393)', 'Roll': '-4.312325', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-7.214425'}
2022-06-26 07:31:22: {'Acceleration': '(0.05603027, 0.1186523, 1.022217)', 'Roll': '-3.137386', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.789629'}
2022-06-26 07:31:23: {'Acceleration': '(0.05004883, 0.1588135, 1.014893)', 'Roll': '-2.82322', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-6.61878'}
2022-06-26 07:31:24: {'Acceleration': '(0.04785156, 0.1201172, 1.006348)', 'Roll': '-2.722348', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.798985'}
2022-06-26 07:31:24: {'Acceleration': '(0.1115723, 0.1838379, 1.02356)', 'Roll': '-2.881149', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.805947'}
2022-06-26 07:31:25: {'Acceleration': '(0.03100586, 0.1228027, 0.960083)', 'Roll': '-1.849723', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.285278'}
2022-06-26 07:31:26: {'Acceleration': '(0.07885742, 0.1795654, 1.010742)', 'Roll': '-4.43288', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.860035'}
2022-06-26 07:31:27: {'Acceleration': '(0.06274414, 0.1337891, 0.989624)', 'Roll': '-3.627811', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.135662'}
2022-06-26 07:31:28: {'Acceleration': '(0.07287598, 0.1403809, 1.010864)', 'Roll': '-4.123476', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-7.437556'}
2022-06-26 07:31:29: {'Acceleration': '(0.06005859, 0.147583, 1.026855)', 'Roll': '-3.347295', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-8.164963'}
2022-06-26 07:31:29: {'Acceleration': '(0.05908203, 0.1256104, 0.9934082)', 'Roll': '-2.832529', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.107838'}
2022-06-26 07:31:30: {'Acceleration': '(0.03613281, 0.1107178, 1.015991)', 'Roll': '-2.036814', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.215374'}
2022-06-26 07:31:31: {'Acceleration': '(0.06054688, 0.1343994, 0.973999)', 'Roll': '-3.397819', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.363163'}
