Testing SD card write operations: 2022-06-26 07:30:17
2022-06-26 07:30:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '11b4f2249b600d8ba93d024c2bcae5dbc27fbae18c4703c8dcee0f85', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:30:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:59: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '2c434a2852100bcc9d1f50f0f35eb4437f3657a3b7d9a0635bf54537', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-26 07:30:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2328bf49858c489a09c44ac9261e061b670fbcdb232f39603f45f02f', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:31:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2328bf49858c489a09c44ac9261e061b670fbcdb232f39603f45f02f', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:31:01: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '6bc658f34258d16eb31fc2cb1266f8b4d73a9830cd561ba497850554', 'rssi': -83, 'name': 'Tb91', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -10, 'adv_tx_pwr': 3}
2022-06-26 07:31:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:03: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '8305af8cb5c36a8f034395f1fd3904202f8ca8045e78a07016b0adfc', 'rssi': -82, 'name': 'Tb90', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3ef8efc8ed85036fa5407248cb4bb71bd4063985289c713e00dfac9d', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
