Testing SD card write operations: 2022-04-04 01:13:48
2022-04-04 01:14:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a01a53c12fe53af6a9769f9dabd31076b82cbe2612ddd256b00cfd8b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1fea35c8877628677685dafd85956dcfa784ff32361e19890a579112', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-04-04 01:14:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1fea35c8877628677685dafd85956dcfa784ff32361e19890a579112', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-04-04 01:14:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9876c1904d05e44763ac23626e5c0bbc74774469ca6b931ffdcdace8', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f0d383bf8913b8afbb0fc209720cce28b0e5ed13e494cc91412ff89a', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '2a6dc72192655f6f8d9419358ed6001e9c4368dcbf0ea2cd4312ae4f', 'rssi': -99, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1fea35c8877628677685dafd85956dcfa784ff32361e19890a579112', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
