File is openned: 2022-04-04 01:13:50
2022-04-04 01:15:02: {'Acceleration': '(0.1264648, -0.293457, 1.000488)', 'Roll': '-8.744581', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '18.71492'}
2022-04-04 01:15:03: {'Acceleration': '(0.03295898, 0.01733398, 1.001709)', 'Roll': '-1.884509', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-0.9162515'}
2022-04-04 01:15:04: {'Acceleration': '(0.03320313, 0.01513672, 1.008911)', 'Roll': '-1.884916', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.8621017'}
2022-04-04 01:15:05: {'Acceleration': '(0.03479004, 0.0144043, 0.9973145)', 'Roll': '-1.99788', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-0.8269673'}
2022-04-04 01:15:06: {'Acceleration': '(0.03637695, 0.01330566, 1.001831)', 'Roll': '-1.979497', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-0.9197859'}
2022-04-04 01:15:07: {'Acceleration': '(0.03588867, 0.0189209, 1.001831)', 'Roll': '-2.051634', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.317188'}
2022-04-04 01:15:08: {'Acceleration': '(-0.1278076, 0.1154785, 1.034546)', 'Roll': '7.042626', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-6.133325'}
2022-04-04 01:15:10: {'Acceleration': '(0.0480957, 0.02624512, 0.9692383)', 'Roll': '-2.84081', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.522035'}
2022-04-04 01:15:11: {'Acceleration': '(0.0255127, 0.01977539, 1.006714)', 'Roll': '-1.45171', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.124984'}
2022-04-04 01:15:12: {'Acceleration': '(0.01293945, 0.009277344, 0.994873)', 'Roll': '-0.7481837', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.437711'}
2022-04-04 01:15:13: {'Acceleration': '(0.03771973, 0.02233887, 1.004761)', 'Roll': '-2.149931', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.182044'}
2022-04-04 01:15:14: {'Acceleration': '(0.02661133, 0.02185059, 1.009277)', 'Roll': '-1.510351', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.010321'}
2022-04-04 01:15:15: {'Acceleration': '(0.03686523, 0.015625, 1.002686)', 'Roll': '-2.105617', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.8921738'}
2022-04-04 01:15:16: {'Acceleration': '(0.03125, 0.01843262, 0.9974365)', 'Roll': '-1.794508', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.181049'}
2022-04-04 01:15:17: {'Acceleration': '(0.03552246, 0.01452637, 1.004639)', 'Roll': '-2.080669', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.029559'}
2022-04-04 01:15:18: {'Acceleration': '(0.0369873, 0.01464844, 1.001465)', 'Roll': '-2.115155', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.8374352'}
2022-04-04 01:15:20: {'Acceleration': '(0.03442383, 0.01953125, 1.001953)', 'Roll': '-2.006997', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.013602'}
2022-04-04 01:15:21: {'Acceleration': '(0.03881836, 0.02075195, 0.9979248)', 'Roll': '-2.22763', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.040337'}
2022-04-04 01:15:22: {'Acceleration': '(0.03625488, 0.01806641, 1.00061)', 'Roll': '-1.990576', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-1.270711'}
2022-04-04 01:15:23: {'Acceleration': '(0.03381348, 0.01623535, 1.002808)', 'Roll': '-1.931213', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.103963'}
2022-04-04 01:15:24: {'Acceleration': '(0.02856445, 0.01660156, 1.001709)', 'Roll': '-1.633388', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.9491039'}
2022-04-04 01:15:25: {'Acceleration': '(0.03552246, 0.06164551, 1.005859)', 'Roll': '-2.069864', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-4.104109'}
2022-04-04 01:15:26: {'Acceleration': '(-0.001220703, 0.1505127, 0.9957275)', 'Roll': '0.0702412', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-8.49285'}
2022-04-04 01:15:28: {'Acceleration': '(-0.007568359, 0.1518555, 0.9910889)', 'Roll': '0.6291325', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-8.939423'}
2022-04-04 01:15:29: {'Acceleration': '(-0.07055664, 0.3503418, 0.9283447)', 'Roll': '4.346274', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-20.73631'}
2022-04-04 01:15:30: {'Acceleration': '(-0.0736084, 0.303833, 0.9516602)', 'Roll': '4.400953', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-17.43773'}
2022-04-04 01:15:31: {'Acceleration': '(-0.05749512, 0.2932129, 0.9626465)', 'Roll': '3.417993', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-16.19914'}
2022-04-04 01:15:32: {'Acceleration': '(-0.06958008, 0.2209473, 0.987915)', 'Roll': '4.035804', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-12.57648'}
2022-04-04 01:15:33: {'Acceleration': '(-0.1243896, 0.1348877, 1.011597)', 'Roll': '7.010109', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-7.722211'}
2022-04-04 01:15:34: {'Acceleration': '(-0.1625977, 0.0826416, 0.9888916)', 'Roll': '9.337262', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-4.714096'}
2022-04-04 01:15:45: {'Acceleration': '(-0.009033203, -0.0456543, 1.015503)', 'Roll': '0.5096497', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '2.350283'}
2022-04-04 01:15:46: {'Acceleration': '(0.07788086, -0.03234863, 0.9793701)', 'Roll': '1.249554', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-5.240191'}
2022-04-04 01:15:47: {'Acceleration': '(0.07421875, 0.09643555, 1.002075)', 'Roll': '-4.23588', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-5.62009'}
2022-04-04 01:15:48: {'Acceleration': '(0.1064453, 0.1143799, 0.7087402)', 'Roll': '-8.541382', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-6.736685'}
2022-04-04 01:15:49: {'Acceleration': '(-0.04504395, 0.02294922, 0.9404297)', 'Roll': '2.587285', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.766092'}
2022-04-04 01:15:50: {'Acceleration': '(-0.01379395, 0.02709961, 1.011719)', 'Roll': '0.7811319', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.125856'}
2022-04-04 01:15:52: {'Acceleration': '(-0.01025391, 0.01208496, 0.9985352)', 'Roll': '0.6157446', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.9526972'}
2022-04-04 01:15:53: {'Acceleration': '(-0.01403809, 0.02416992, 1.005249)', 'Roll': '0.8349926', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.529233'}
2022-04-04 01:15:54: {'Acceleration': '(-0.01330566, 0.02807617, 0.9910889)', 'Roll': '0.8608891', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.213485'}
2022-04-04 01:15:55: {'Acceleration': '(-0.0135498, 0.02832031, 1.009033)', 'Roll': '0.8030939', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-1.396363'}
2022-04-04 01:15:56: {'Acceleration': '(-0.01416016, 0.02380371, 1.001465)', 'Roll': '0.8100765', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-1.416538'}
2022-04-04 01:15:57: {'Acceleration': '(-0.01428223, 0.02282715, 1.004883)', 'Roll': '0.8003627', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.572441'}
2022-04-04 01:15:58: {'Acceleration': '(-0.01599121, 0.02319336, 1.001221)', 'Roll': '0.9152571', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.35516'}
2022-04-04 01:15:59: {'Acceleration': '(-0.015625, 0.02185059, 1.011963)', 'Roll': '0.8776833', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.236809'}
2022-04-04 01:16:01: {'Acceleration': '(-0.01269531, 0.02416992, 1.003662)', 'Roll': '0.7233756', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.529776'}
2022-04-04 01:16:02: {'Acceleration': '(-0.01586914, 0.02758789, 1.003418)', 'Roll': '0.906062', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.574692'}
2022-04-04 01:16:03: {'Acceleration': '(-0.01293945, 0.02563477, 1.002808)', 'Roll': '0.8717491', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.415378'}
2022-04-04 01:16:04: {'Acceleration': '(-0.01672363, 0.02355957, 1.003784)', 'Roll': '0.8552019', 'battery_voltage': 4.576308, 'battery_percentage': 90.96411, 'Pitch': '-1.590768'}
2022-04-04 01:16:05: {'Acceleration': '(-0.015625, 0.02746582, 1.000732)', 'Roll': '0.8945187', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.394157'}
2022-04-04 01:16:06: {'Acceleration': '(-0.01477051, 0.02233887, 1.004761)', 'Roll': '0.8422173', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.273511'}
2022-04-04 01:16:07: {'Acceleration': '(-0.01513672, 0.0279541, 0.9997559)', 'Roll': '0.8674155', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-1.349624'}
2022-04-04 01:16:08: {'Acceleration': '(-0.01159668, 0.02038574, 0.9971924)', 'Roll': '0.6662815', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-1.171063'}
2022-04-04 01:16:09: {'Acceleration': '(-0.01525879, 0.02380371, 1.004028)', 'Roll': '0.8757998', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.50601'}
2022-04-04 01:16:11: {'Acceleration': '(-0.01855469, 0.02880859, 1.001709)', 'Roll': '1.06117', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.458533'}
2022-04-04 01:16:12: {'Acceleration': '(-0.02209473, 0.0002441406, 1.027954)', 'Roll': '2.183', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-0.5982882'}
2022-04-04 01:16:13: {'Acceleration': '(-0.0333252, -0.01074219, 1.015259)', 'Roll': '-1.933582', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '0.7258425'}
2022-04-04 01:16:14: {'Acceleration': '(0.005737305, -0.002319336, 0.9957275)', 'Roll': '-0.3301301', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.4692619'}
