Testing SD card write operations: 2022-05-31 10:36:59
2022-05-31 10:37:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3fd5403c3352', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'42ad740d82ca', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'360a3f3ad0c7', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fcefbb2e8bc3', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7f270e382b04', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'63c61d9b6b67', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-05-31 10:38:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'752dee60d49e', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:38:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'2b5b4ff9687e', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'1b0e0fc5976b', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'360a3f3ad0c7', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f7bbdeab690c', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4251233fd4ff', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'247ade537846', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'1b0e0fc5976b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3fd5403c3352', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fd145960d4d5', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'360a3f3ad0c7', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4251233fd4ff', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e78da341ff83', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'79ac68e2b524', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-05-31 10:38:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'360a3f3ad0c7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'42ad740d82ca', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65575de888ab', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:38:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3fd5403c3352', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7d0fd5897051', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-31 10:38:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'495e1c15d232', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4251233fd4ff', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'360a3f3ad0c7', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'336b5d1b80f0', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'684b46b71688', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:38:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'ea1c7f9d52e7', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'63fa11a681eb', 'rssi': -99, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-31 10:38:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7acf733c1a60', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5a81dca595b8', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
