Testing SD card write operations: 2022-05-25 20:16:37
2022-05-25 20:17:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ed6468f1936e4570dbb318eb8a4c87ad32d1503e8e2fe94e132ec283d1d1ca12', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ab5790802582fe6e95d6df7801c6354a95a33bca6903d2f23c227fb673dcf674', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fda5badbf2e70269345208d3b852ab3cdf7b026b44134e2f29454f8ee59102b1', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 20:17:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4f1ca39cc21831a2fc972306de1b2cfdb96641eab35a27f65f2dbbac9bd8f966', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b837fcd9b0261142a5a627def2687ac6626a8c85fff6d88f2c575f88cbb8a257', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aebc5e67e95af44c5210030a4810a3acd70989ab17824f2905d807dcf7822467', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '97a3ee6bf434e6c1a46061abc464663d0a9c48426b3cfb2b7089ebafcf6f6823', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ccad233d90983be1f0912f08d43c792477c83a48ffd191efa5008d396c6eef8', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ad3e2226d7c7bcf7cc3ae35df910486dfcfb2d7c971927fa7bfbd9b5fdebb95c', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ac10ac55bde19cf7790d035708f8edf4474dd9c3b757be870eb86763e63abbcc', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
