Testing SD card write operations: 2022-05-25 20:16:37
2022-05-25 20:17:36: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-83}
2022-05-25 20:17:38: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-25 20:17:38: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-55}
2022-05-25 20:17:40: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-25 20:17:40: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-81}
2022-05-25 20:17:42: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-12}
2022-05-25 20:17:43: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-29}
2022-05-25 20:17:43: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-81}
2022-05-25 20:17:45: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-15}
2022-05-25 20:17:45: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-56}
2022-05-25 20:17:49: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-33}
2022-05-25 20:17:49: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-83}
2022-05-25 20:17:51: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-34}
2022-05-25 20:17:53: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-37}
2022-05-25 20:17:53: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-59}
2022-05-25 20:17:53: {'ssid':'Celestine\u2019s T30', 'bssid':'a9b27d2776e6776dd5b43bb0520d7b940eb384d143029da6f90c54a2', 'sec':3, 'channel':6, 'rssi':-75}
