Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 11:47:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '43071892b387580482f08ad29e386261659f2095765449f488bf8a7066942f9e', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bc457301324814245bef39117f7e43ce06bc515718d1e338b1d5702525c9b20', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'bada3c4dd30267ffdbef7952bc99953360dc9d610a16c9eeaa9e41bd5e2f2f06', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0893a6fe9bc03ff25d7ebf2a373d9b9e1ffc2b2fcdf26d9728c809057b5e116f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e146a4f898e7cab25f99bc9e45719d3e2eaba7682aa9e874ff60f9f07c161097', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:52: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '5d447076a503aafca5cd89454773f10433e5b786729a137f9cce63d5d67878fd', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a0f90369d46fe18a46f733574acc25190b7bb773ca5c96c3bd953145c24f1325', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a3f732c86feda01880c8aa83c4ce5c6b26ec3d296615356bba0ecc268b841f48', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
