Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 11:48:35: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-80}
2022-07-06 11:48:35: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-83}
2022-07-06 11:48:37: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-06 11:48:39: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-06 11:48:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-06 11:48:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-78}
2022-07-06 11:48:40: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-06 11:48:42: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-06 11:48:42: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-83}
2022-07-06 11:48:44: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-06 11:48:44: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-83}
2022-07-06 11:48:46: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 11:48:46: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-80}
2022-07-06 11:48:48: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 11:48:50: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-06 11:48:50: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-78}
2022-07-06 11:48:52: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:48:53: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-06 11:48:53: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-78}
2022-07-06 11:48:53: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 11:48:55: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-06 11:48:55: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-06 11:48:57: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:48:59: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-06 11:48:59: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-79}
2022-07-06 11:48:59: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 11:49:01: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:49:01: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-06 11:49:01: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 11:49:03: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-06 11:49:03: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 11:49:05: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-06 11:49:07: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:49:07: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 11:49:08: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:49:08: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-80}
2022-07-06 11:49:10: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-06 11:49:10: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-06 11:49:12: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:49:12: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-88}
2022-07-06 11:49:14: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:49:14: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-72}
