Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 12:14:53: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:14:55: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:14:55: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 12:14:57: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:14:57: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-06 12:14:59: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:00: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:15:00: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-74}
2022-07-06 12:15:02: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:02: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-06 12:15:04: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:15:04: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-06 12:15:06: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-21}
2022-07-06 12:15:06: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-77}
2022-07-06 12:15:08: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:08: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-06 12:15:08: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-06 12:15:10: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:10: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-06 12:15:10: {'ssid':'Galaxy S100085', 'bssid':b'\x92\xf0\x8aF\x16d', 'sec':3, 'channel':1, 'rssi':-95}
2022-07-06 12:15:13: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:13: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 12:15:15: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:17: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-06 12:15:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-85}
2022-07-06 12:15:19: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:19: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-82}
2022-07-06 12:15:21: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:21: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:15:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-84}
2022-07-06 12:15:23: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-06 12:15:25: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 12:15:27: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-06 12:15:29: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:15:29: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-85}
2022-07-06 12:15:30: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:30: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-06 12:15:34: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:15:36: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:36: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-06 12:15:38: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:15:40: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:15:40: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-84}
2022-07-06 12:15:40: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-06 12:15:42: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:43: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:15:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 12:15:45: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-06 12:15:45: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-06 12:15:45: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-81}
2022-07-06 12:15:45: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 12:15:47: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:15:47: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-83}
2022-07-06 12:15:49: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-06 12:15:49: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-74}
2022-07-06 12:15:49: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-77}
2022-07-06 12:15:51: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-06 12:15:51: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-77}
2022-07-06 12:15:53: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-06 12:15:53: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-06 12:15:53: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-77}
2022-07-06 12:15:55: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:15:57: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:15:57: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-81}
2022-07-06 12:15:58: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:15:58: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-88}
2022-07-06 12:16:00: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:16:00: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:16:00: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-92}
2022-07-06 12:16:02: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:16:04: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:16:04: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-06 12:16:06: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:16:11: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-06 12:16:13: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:16:13: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-06 12:16:13: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 12:16:15: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-06 12:16:17: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:16:19: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-06 12:16:19: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-84}
2022-07-06 12:16:21: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 12:16:23: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-06 12:16:23: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-06 12:16:23: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-84}
2022-07-06 12:16:25: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:16:26: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:16:28: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:16:28: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 12:16:28: {'ssid':'Yolande', 'bssid':b'\x06\xd6\xaaO\xc1\xe7', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-06 12:16:30: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:16:30: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-06 12:16:30: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 12:16:32: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:16:32: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:16:34: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:16:36: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:16:36: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-06 12:16:36: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-06 12:16:36: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-06 12:16:38: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 12:16:38: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-06 12:16:38: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:16:40: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 12:16:41: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:16:41: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-91}
2022-07-06 12:16:45: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:16:45: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-83}
2022-07-06 12:16:45: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-87}
2022-07-06 12:16:47: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 12:16:47: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-06 12:16:47: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:16:47: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-87}
2022-07-06 12:16:49: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:16:51: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 12:16:51: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-85}
2022-07-06 12:16:53: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:16:53: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-06 12:16:53: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-84}
2022-07-06 12:16:53: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:16:53: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-89}
2022-07-06 12:16:55: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:16:55: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 12:16:56: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:16:56: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-06 12:16:56: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:16:58: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-06 12:16:58: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:17:00: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:17:00: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:17:00: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-06 12:17:02: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:17:04: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:17:04: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-06 12:17:06: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:17:06: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:17:06: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-85}
2022-07-06 12:17:08: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:17:08: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:17:08: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:17:10: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-74}
2022-07-06 12:17:10: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-92}
2022-07-06 12:17:12: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:17:12: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 12:17:13: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:17:13: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-83}
2022-07-06 12:17:15: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:17:17: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:17:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-85}
2022-07-06 12:17:19: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:17:19: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-83}
2022-07-06 12:17:21: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-72}
2022-07-06 12:17:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-06 12:17:23: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:17:23: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:17:25: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:17:25: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-06 12:17:26: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:17:26: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-06 12:17:28: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:17:28: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-06 12:17:30: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:17:32: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:17:32: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-06 12:17:34: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:17:34: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-06 12:17:34: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-88}
2022-07-06 12:17:36: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:17:36: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-06 12:17:38: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:17:40: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:17:41: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:17:41: {'ssid':'Galaxy A41VB', 'bssid':b'\x123\xf7\xbb\x8f`', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:17:43: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:17:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-88}
2022-07-06 12:17:43: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-91}
2022-07-06 12:17:45: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:17:47: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:17:49: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 12:17:51: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-37}
