Testing SD card write operations: 2022-09-18 10:38:30
2022-09-18 10:39:14: {'Acceleration': '(-0.2327881, -0.2175293, 0.9729004)', 'Roll': '13.4563', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.26801'}
2022-09-18 10:39:15: {'Acceleration': '(-0.2302246, -0.2188721, 0.9692383)', 'Roll': '13.36193', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.39133'}
2022-09-18 10:39:16: {'Acceleration': '(-0.2327881, -0.220459, 0.9703369)', 'Roll': '13.49055', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.45821'}
2022-09-18 10:39:16: {'Acceleration': '(-0.2299805, -0.2194824, 0.970459)', 'Roll': '13.33207', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.41116'}
2022-09-18 10:39:17: {'Acceleration': '(-0.2301025, -0.2192383, 0.9677734)', 'Roll': '13.37458', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.42899'}
2022-09-18 10:39:18: {'Acceleration': '(-0.2325439, -0.2182617, 0.9685059)', 'Roll': '13.50147', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.35993'}
2022-09-18 10:39:19: {'Acceleration': '(-0.2331543, -0.222168, 0.9681396)', 'Roll': '13.54053', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.57677'}
2022-09-18 10:39:20: {'Acceleration': '(-0.2332764, -0.2214355, 0.96875)', 'Roll': '13.53914', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '12.52904'}
2022-09-18 10:39:21: {'Acceleration': '(-0.2370605, -0.2169189, 0.9725342)', 'Roll': '13.69901', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.22695'}
2022-09-18 10:39:22: {'Acceleration': '(-0.2270508, -0.2207031, 0.963501)', 'Roll': '13.25994', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.56891'}
2022-09-18 10:39:22: {'Acceleration': '(-0.2330322, -0.2202148, 0.9686279)', 'Roll': '13.52713', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.46426'}
2022-09-18 10:39:23: {'Acceleration': '(-0.230957, -0.21875, 0.9671631)', 'Roll': '13.43062', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.40695'}
2022-09-18 10:39:24: {'Acceleration': '(-0.2344971, -0.2188721, 0.9666748)', 'Roll': '13.63548', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.40938'}
2022-09-18 10:39:25: {'Acceleration': '(-0.2342529, -0.2199707, 0.9665527)', 'Roll': '13.62347', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.47187'}
2022-09-18 10:39:26: {'Acceleration': '(-0.2319336, -0.2213135, 0.9671631)', 'Roll': '13.48534', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.54499'}
2022-09-18 10:39:27: {'Acceleration': '(-0.2316895, -0.2189941, 0.9648438)', 'Roll': '13.50286', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.44565'}
