Testing SD card write operations: 2022-06-30 13:58:22
2022-06-30 13:59:11: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-58}
2022-06-30 13:59:11: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-59}
2022-06-30 13:59:12: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-30 13:59:12: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-59}
2022-06-30 13:59:12: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-60}
2022-06-30 13:59:12: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-63}
2022-06-30 13:59:14: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-58}
2022-06-30 13:59:14: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-62}
2022-06-30 13:59:16: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-30 13:59:16: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-57}
2022-06-30 13:59:16: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-58}
2022-06-30 13:59:18: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-30 13:59:18: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-57}
2022-06-30 13:59:18: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-60}
2022-06-30 13:59:18: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-62}
2022-06-30 13:59:20: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-30 13:59:20: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-58}
2022-06-30 13:59:20: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-59}
2022-06-30 13:59:20: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-61}
2022-06-30 13:59:22: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-30 13:59:22: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-58}
2022-06-30 13:59:22: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-59}
2022-06-30 13:59:22: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-63}
2022-06-30 13:59:22: {'ssid':'C54', 'bssid':'f7cee728596c80c6bb6b10a2377d48049733426b3d46584daee53553770b12c1', 'sec':3, 'channel':1, 'rssi':-91}
2022-06-30 13:59:24: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-30 13:59:24: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-58}
2022-06-30 13:59:24: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-60}
2022-06-30 13:59:24: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-66}
2022-06-30 13:59:26: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-30 13:59:26: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-60}
2022-06-30 13:59:26: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-61}
2022-06-30 13:59:26: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-62}
2022-06-30 13:59:26: {'ssid':'C54', 'bssid':'f7cee728596c80c6bb6b10a2377d48049733426b3d46584daee53553770b12c1', 'sec':3, 'channel':1, 'rssi':-91}
2022-06-30 13:59:28: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-30 13:59:28: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-57}
2022-06-30 13:59:28: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-61}
2022-06-30 13:59:28: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-62}
2022-06-30 13:59:30: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-30 13:59:30: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-59}
2022-06-30 13:59:30: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-61}
