Testing SD card write operations: 2022-07-01 13:12:00
2022-07-01 13:14:44: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:14:46: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:14:47: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:14:49: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-01 13:14:49: {'ssid':'BS11', 'bssid':'550b5b9999a6d26f66d75d3ac7f7284eb8f0c4a84d892e41f524e549', 'sec':5, 'channel':3, 'rssi':-91}
2022-07-01 13:14:51: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:14:53: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:14:55: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-01 13:14:57: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-01 13:14:58: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:14:58: {'ssid':'BS12', 'bssid':'886636770177d1f8a7bac94158d221d013b48d2b29f4b42fec60c397', 'sec':4, 'channel':3, 'rssi':-92}
2022-07-01 13:14:58: {'ssid':'BS14', 'bssid':'4620b406e5d7dc5be2b0a4c186ff4c369f4e438b46fd168512c5d27d', 'sec':2, 'channel':6, 'rssi':-92}
2022-07-01 13:15:00: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-01 13:15:02: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-01 13:15:02: {'ssid':'BS11', 'bssid':'550b5b9999a6d26f66d75d3ac7f7284eb8f0c4a84d892e41f524e549', 'sec':5, 'channel':3, 'rssi':-94}
2022-07-01 13:15:04: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-01 13:15:06: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:15:08: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-51}
