Testing SD card write operations: 2022-07-01 13:12:00
2022-07-01 13:12:46: {'Acceleration': '(-0.5860596, -0.1702881, 0.8105469)', 'Roll': '35.86852', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '9.661944'}
2022-07-01 13:12:47: {'Acceleration': '(-0.59021, -0.1732178, 0.8079834)', 'Roll': '36.14712', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.735747'}
2022-07-01 13:12:47: {'Acceleration': '(-0.5894775, -0.1619873, 0.8035889)', 'Roll': '36.17769', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.125707'}
2022-07-01 13:12:48: {'Acceleration': '(-0.5877686, -0.161377, 0.8070068)', 'Roll': '36.1899', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.025954'}
2022-07-01 13:12:49: {'Acceleration': '(-0.5723877, -0.1524658, 0.8212891)', 'Roll': '34.87411', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.909225'}
2022-07-01 13:12:50: {'Acceleration': '(-0.5557861, -0.199585, 0.8262939)', 'Roll': '33.83582', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.41677'}
2022-07-01 13:12:51: {'Acceleration': '(-0.5118408, -0.2570801, 0.8312988)', 'Roll': '32.45503', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.45779'}
2022-07-01 13:12:52: {'Acceleration': '(-0.5070801, -0.1871338, 0.7950439)', 'Roll': '32.52979', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.785617'}
2022-07-01 13:12:53: {'Acceleration': '(-0.5830078, -0.03845215, 0.8723145)', 'Roll': '33.75662', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.151289'}
2022-07-01 13:12:54: {'Acceleration': '(-0.4990234, -0.2889404, 0.8189697)', 'Roll': '30.79989', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.35788'}
2022-07-01 13:12:54: {'Acceleration': '(-0.5603027, -0.1346436, 0.8031006)', 'Roll': '34.90249', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.974899'}
2022-07-01 13:12:55: {'Acceleration': '(-0.5343018, -0.2164307, 0.8256836)', 'Roll': '32.50572', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.80839'}
2022-07-01 13:12:56: {'Acceleration': '(-0.5266113, -0.2352295, 0.8179932)', 'Roll': '32.77281', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '13.59293'}
2022-07-01 13:12:57: {'Acceleration': '(-0.5447998, -0.1707764, 0.8566895)', 'Roll': '32.45375', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.548441'}
2022-07-01 13:12:58: {'Acceleration': '(-0.5428467, -0.229248, 0.8341064)', 'Roll': '33.05657', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '12.91447'}
2022-07-01 13:12:59: {'Acceleration': '(-0.4473877, -0.2750244, 0.8712158)', 'Roll': '27.18145', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.68562'}
2022-07-01 13:13:00: {'Acceleration': '(-0.5811768, -0.2474365, 0.7923584)', 'Roll': '36.25919', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '14.40814'}
2022-07-01 13:13:00: {'Acceleration': '(-0.4619141, -0.01538086, 0.9259033)', 'Roll': '26.51366', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.5141647'}
2022-07-01 13:13:01: {'Acceleration': '(-0.52771, 0.1600342, 0.8658447)', 'Roll': '31.36122', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-8.968841'}
2022-07-01 13:13:02: {'Acceleration': '(-0.6768799, -0.2478027, 0.7668457)', 'Roll': '41.43422', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.92259'}
2022-07-01 13:13:03: {'Acceleration': '(-0.5026855, -0.2644043, 0.8656006)', 'Roll': '30.14529', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.61393'}
2022-07-01 13:13:04: {'Acceleration': '(-0.5115967, -0.1981201, 0.8310547)', 'Roll': '31.61642', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.4758'}
2022-07-01 13:13:05: {'Acceleration': '(-0.5206299, -0.2351074, 0.8594971)', 'Roll': '31.20487', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.91478'}
2022-07-01 13:13:06: {'Acceleration': '(-0.519165, -0.2719727, 0.8361816)', 'Roll': '32.03871', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.62528'}
2022-07-01 13:13:06: {'Acceleration': '(-0.4946289, -0.2651367, 0.7808838)', 'Roll': '32.35106', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '16.00466'}
2022-07-01 13:13:07: {'Acceleration': '(-0.6047363, -0.2663574, 0.796875)', 'Roll': '37.19431', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.80858'}
2022-07-01 13:13:08: {'Acceleration': '(-0.5101318, -0.1929932, 0.8414307)', 'Roll': '32.3535', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '12.00883'}
2022-07-01 13:13:09: {'Acceleration': '(-0.425415, -0.2578125, 0.8262939)', 'Roll': '27.24154', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '15.81257'}
2022-07-01 13:13:10: {'Acceleration': '(-0.5784912, -0.3271484, 0.7849121)', 'Roll': '37.37038', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '18.25115'}
2022-07-01 13:13:11: {'Acceleration': '(-0.9038086, -0.1635742, 0.6594238)', 'Roll': '52.27471', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.351452'}
2022-07-01 13:13:12: {'Acceleration': '(-0.3255615, -0.3564453, 0.9787598)', 'Roll': '19.15961', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '16.89961'}
2022-07-01 13:13:13: {'Acceleration': '(-0.4543457, -0.3670654, 0.824585)', 'Roll': '28.17721', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '22.50838'}
2022-07-01 13:13:13: {'Acceleration': '(-0.5067139, -0.3579102, 0.7971191)', 'Roll': '32.44336', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '20.75294'}
2022-07-01 13:13:14: {'Acceleration': '(-0.4953613, -0.3446045, 0.8022461)', 'Roll': '31.14042', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '20.06966'}
2022-07-01 13:13:15: {'Acceleration': '(-0.5249023, -0.3305664, 0.8001709)', 'Roll': '33.26439', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '19.05642'}
2022-07-01 13:13:16: {'Acceleration': '(-0.6270752, -0.1917725, 0.8076172)', 'Roll': '38.73501', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.26139'}
2022-07-01 13:13:17: {'Acceleration': '(-0.6800537, -0.06420898, 0.8061523)', 'Roll': '45.87663', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.14253'}
2022-07-01 13:13:18: {'Acceleration': '(-0.6134033, -0.05029297, 0.8076172)', 'Roll': '37.21748', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.839031'}
2022-07-01 13:13:19: {'Acceleration': '(-0.6253662, -0.04223633, 0.7924805)', 'Roll': '38.67844', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.525416'}
2022-07-01 13:13:19: {'Acceleration': '(-0.6199951, -0.05639648, 0.803833)', 'Roll': '37.64294', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.17977'}
2022-07-01 13:13:20: {'Acceleration': '(-0.6368408, -0.06091309, 0.7904053)', 'Roll': '38.85889', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.43423'}
2022-07-01 13:13:21: {'Acceleration': '(-0.6109619, -0.05334473, 0.8161621)', 'Roll': '37.02458', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.393651'}
2022-07-01 13:13:22: {'Acceleration': '(-0.5964355, -0.05310059, 0.8148193)', 'Roll': '35.97937', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.018767'}
2022-07-01 13:13:23: {'Acceleration': '(-2.254395, -0.1578369, -0.3347168)', 'Roll': '98.44518', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.961627'}
2022-07-01 13:13:24: {'Acceleration': '(-0.4650879, -0.2069092, 0.9984131)', 'Roll': '24.97738', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.63936'}
2022-07-01 13:13:25: {'Acceleration': '(-0.5180664, -0.3554688, 0.8275146)', 'Roll': '32.04867', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '20.00634'}
2022-07-01 13:13:26: {'Acceleration': '(-0.5667725, -0.0423584, 0.7719727)', 'Roll': '36.28564', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.532524'}
2022-07-01 13:13:26: {'Acceleration': '(-0.6225586, -0.1987305, 0.7384033)', 'Roll': '39.62976', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.44928'}
2022-07-01 13:13:27: {'Acceleration': '(-0.5234375, -0.2459717, 0.8054199)', 'Roll': '33.01959', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '14.36307'}
2022-07-01 13:13:28: {'Acceleration': '(-0.5697021, -0.2592773, 0.7972412)', 'Roll': '35.54929', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '14.82095'}
2022-07-01 13:13:29: {'Acceleration': '(-0.5709229, -0.2130127, 0.803833)', 'Roll': '34.88125', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '12.28136'}
2022-07-01 13:13:30: {'Acceleration': '(-0.6083984, -0.189209, 0.8051758)', 'Roll': '37.75415', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '10.67791'}
2022-07-01 13:13:31: {'Acceleration': '(-0.611084, -0.1717529, 0.7906494)', 'Roll': '37.70003', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.752568'}
2022-07-01 13:13:32: {'Acceleration': '(-0.588501, -0.08410645, 0.8571777)', 'Roll': '35.05002', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '4.592491'}
2022-07-01 13:13:33: {'Acceleration': '(-0.515625, -0.2095947, 0.9162598)', 'Roll': '29.93294', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.46382'}
2022-07-01 13:13:34: {'Acceleration': '(-0.7232666, -0.1043701, 0.7518311)', 'Roll': '43.89064', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.713062'}
2022-07-01 13:13:34: {'Acceleration': '(-0.557373, -0.01818848, 0.7769775)', 'Roll': '35.65416', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.1677119'}
2022-07-01 13:13:35: {'Acceleration': '(-0.5611572, -0.1248779, 0.840332)', 'Roll': '32.37072', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.597629'}
2022-07-01 13:13:36: {'Acceleration': '(-0.53479, -0.1723633, 0.8903809)', 'Roll': '30.99031', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.570037'}
2022-07-01 13:13:37: {'Acceleration': '(-0.5852051, -0.2132568, 0.779541)', 'Roll': '36.81565', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.77526'}
2022-07-01 13:13:38: {'Acceleration': '(-0.5444336, -0.2200928, 0.7840576)', 'Roll': '34.77532', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '12.98398'}
2022-07-01 13:13:39: {'Acceleration': '(-0.6442871, -0.1359863, 0.7646484)', 'Roll': '40.04972', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '10.13129'}
2022-07-01 13:13:40: {'Acceleration': '(-0.6020508, -0.2705078, 0.7288818)', 'Roll': '40.18944', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '15.95737'}
2022-07-01 13:13:41: {'Acceleration': '(-0.7003174, -0.1608887, 0.7924805)', 'Roll': '41.46713', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.650052'}
