Testing SD card: 2022-07-01 13:12:00
2022-07-01 13:12:51: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:52: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:53: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:54: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:55: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:13:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:13:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '888be720680c571720fd26575f2e2e021ee8dc35aad8f7a195214ae06b029383', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:13:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:13:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:13:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:13:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:13:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '888be720680c571720fd26575f2e2e021ee8dc35aad8f7a195214ae06b029383', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:13:06: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:13:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '888be720680c571720fd26575f2e2e021ee8dc35aad8f7a195214ae06b029383', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:13:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:13:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
