Testing SD card write operations: 2022-06-30 10:50:05
2022-06-30 10:50:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e61375c7a5f35e0960cd94a3010817b8614c29a3c1e58f1986d4a08d345f3eb3', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5a8485f04fdcd78fb6ea04f137cfbb62616f2b4cb7ef277cc7c14547bab9509d', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
