Testing SD card write operations: 2022-07-01 13:42:00
2022-07-01 13:43:05: {'Acceleration': '(-0.3842773, -0.03869629, 0.9388428)', 'Roll': '22.25976', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '3.10633'}
2022-07-01 13:43:06: {'Acceleration': '(-0.3261719, -0.0003662109, 1.01709)', 'Roll': '20.11771', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.01937112'}
2022-07-01 13:43:07: {'Acceleration': '(-0.4620361, 0.04516602, 0.8693848)', 'Roll': '28.52966', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.437726'}
2022-07-01 13:43:08: {'Acceleration': '(-0.3693848, -0.04882813, 0.9436035)', 'Roll': '21.37845', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '2.758716'}
2022-07-01 13:43:08: {'Acceleration': '(-0.3670654, -0.01721191, 0.9056396)', 'Roll': '22.06324', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '0.7767199'}
2022-07-01 13:43:09: {'Acceleration': '(-0.3167725, -0.02758789, 0.9611816)', 'Roll': '18.24044', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.458732'}
2022-07-01 13:43:10: {'Acceleration': '(-0.3206787, 0.1120605, 0.9676514)', 'Roll': '21.30787', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-5.017131'}
2022-07-01 13:43:11: {'Acceleration': '(-0.2786865, -0.09338379, 0.9351807)', 'Roll': '16.59421', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '5.466419'}
2022-07-01 13:43:12: {'Acceleration': '(-0.3540039, -0.1286621, 0.9985352)', 'Roll': '20.93888', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '7.422415'}
2022-07-01 13:43:13: {'Acceleration': '(-0.286499, -0.06994629, 1.014282)', 'Roll': '15.77312', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.619357'}
2022-07-01 13:43:14: {'Acceleration': '(-0.2841797, -0.01745605, 0.9761963)', 'Roll': '16.23076', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.983615'}
2022-07-01 13:43:15: {'Acceleration': '(-0.02502441, 0.1207275, 1.066162)', 'Roll': '1.404027', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-6.398282'}
2022-07-01 13:43:15: {'Acceleration': '(-0.1351318, 0.03613281, 1.005981)', 'Roll': '7.650651', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.038768'}
2022-07-01 13:43:16: {'Acceleration': '(-0.1202393, -0.05456543, 1.026367)', 'Roll': '6.205544', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.461441'}
2022-07-01 13:43:17: {'Acceleration': '(-0.135376, -0.09094238, 1.00354)', 'Roll': '7.682731', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.131858'}
2022-07-01 13:43:18: {'Acceleration': '(-0.3674316, -0.1119385, 0.9317627)', 'Roll': '20.78182', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.780519'}
2022-07-01 13:43:19: {'Acceleration': '(-0.2592773, -0.0970459, 0.8598633)', 'Roll': '16.7798', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '6.195722'}
2022-07-01 13:43:20: {'Acceleration': '(-0.2779541, -0.1671143, 0.9589844)', 'Roll': '16.58007', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '9.481808'}
2022-07-01 13:43:21: {'Acceleration': '(-0.3183594, -0.1035156, 0.8878174)', 'Roll': '19.72715', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '5.502995'}
2022-07-01 13:43:22: {'Acceleration': '(-0.3103027, -0.06494141, 0.9328613)', 'Roll': '18.39895', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.779278'}
2022-07-01 13:43:22: {'Acceleration': '(-0.3538818, 0.07543945, 1.030884)', 'Roll': '20.94469', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.617087'}
2022-07-01 13:43:23: {'Acceleration': '(-0.3449707, 0.0246582, 0.934082)', 'Roll': '20.26995', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.418554'}
2022-07-01 13:43:24: {'Acceleration': '(-0.3271484, -0.1918945, 0.9395752)', 'Roll': '19.0646', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '11.04765'}
2022-07-01 13:43:25: {'Acceleration': '(-0.2886963, -0.1728516, 1.005371)', 'Roll': '16.02163', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '10.00337'}
2022-07-01 13:43:26: {'Acceleration': '(-0.2410889, -0.2800293, 0.9355469)', 'Roll': '13.25668', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '15.09863'}
2022-07-01 13:43:27: {'Acceleration': '(-0.2209473, -0.2935791, 1.028076)', 'Roll': '12.9871', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '16.6651'}
2022-07-01 13:43:28: {'Acceleration': '(-0.2452393, -0.1108398, 0.9519043)', 'Roll': '14.44696', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.433393'}
2022-07-01 13:43:28: {'Acceleration': '(-0.3448486, -0.08227539, 0.9516602)', 'Roll': '19.71134', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '4.036026'}
2022-07-01 13:43:29: {'Acceleration': '(-0.3411865, -0.05383301, 0.9910889)', 'Roll': '18.99624', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.839295'}
2022-07-01 13:43:30: {'Acceleration': '(-0.3664551, -0.02526855, 1.02124)', 'Roll': '19.30164', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.337742'}
2022-07-01 13:43:31: {'Acceleration': '(-0.3497314, -0.04016113, 0.9372559)', 'Roll': '20.46276', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '2.298954'}
2022-07-01 13:43:32: {'Acceleration': '(-0.3273926, -0.08410645, 0.9624023)', 'Roll': '18.78741', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.729648'}
2022-07-01 13:43:33: {'Acceleration': '(-0.3304443, -0.09289551, 0.8747559)', 'Roll': '20.69436', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '4.099555'}
2022-07-01 13:43:34: {'Acceleration': '(-0.3410645, -0.07531738, 0.8458252)', 'Roll': '21.96091', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.171965'}
2022-07-01 13:43:35: {'Acceleration': '(-0.3604736, -0.0645752, 1.000854)', 'Roll': '19.80729', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.473758'}
2022-07-01 13:43:35: {'Acceleration': '(-0.3522949, -0.04101563, 1.050293)', 'Roll': '18.54276', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.120368'}
2022-07-01 13:43:36: {'Acceleration': '(-0.3449707, -0.0769043, 0.9664307)', 'Roll': '19.6442', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.285972'}
2022-07-01 13:43:37: {'Acceleration': '(-0.3458252, -0.05944824, 0.9608154)', 'Roll': '19.79527', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '4.146887'}
2022-07-01 13:43:38: {'Acceleration': '(-0.3405762, -0.07849121, 0.9532471)', 'Roll': '19.6608', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.433871'}
2022-07-01 13:43:39: {'Acceleration': '(-0.3336182, -0.05200195, 1.026001)', 'Roll': '18.01264', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '2.759521'}
2022-07-01 13:43:40: {'Acceleration': '(-0.3382568, -0.04638672, 0.9482422)', 'Roll': '19.63233', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.721981'}
2022-07-01 13:43:41: {'Acceleration': '(-0.3327637, -0.03076172, 0.9370117)', 'Roll': '20.90535', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.197243'}
2022-07-01 13:43:41: {'Acceleration': '(-0.3813477, -0.05212402, 1.121704)', 'Roll': '19.67005', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '4.199329'}
2022-07-01 13:43:42: {'Acceleration': '(-0.3272705, -0.06005859, 0.977417)', 'Roll': '18.51219', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.33467'}
