Testing SD card write operations: 2022-06-04 21:40:46
2022-06-04 21:41:30: {'Acceleration': '(-0.6464844, 0.237915, 1.103394)', 'Roll': '30.36627', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.76686'}
2022-06-04 21:41:31: {'Acceleration': '(0.2033691, -0.06152344, 1.141968)', 'Roll': '-8.29552', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.05162'}
2022-06-04 21:41:32: {'Acceleration': '(-0.1312256, 0.18396, 0.9211426)', 'Roll': '8.107779', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-11.18384'}
2022-06-04 21:41:33: {'Acceleration': '(-0.2023926, -0.0657959, 1.422485)', 'Roll': '8.097746', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.621913'}
2022-06-04 21:41:34: {'Acceleration': '(-0.5892334, -0.2824707, 1.084473)', 'Roll': '28.51684', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '20.55598'}
2022-06-04 21:41:35: {'Acceleration': '(-0.6739502, -0.3408203, 1.350464)', 'Roll': '26.52153', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.17003'}
2022-06-04 21:41:36: {'Acceleration': '(-0.01513672, -0.04394531, 0.6982422)', 'Roll': '-0.3744769', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.61201'}
2022-06-04 21:41:37: {'Acceleration': '(-0.1970215, -0.6722412, 1.241943)', 'Roll': '9.014265', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '28.1288'}
2022-06-04 21:41:38: {'Acceleration': '(-0.01293945, -0.1027832, 0.5091553)', 'Roll': '1.455777', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.40933'}
2022-06-04 21:41:39: {'Acceleration': '(-0.3358154, -0.1027832, 1.120605)', 'Roll': '16.68206', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.285479'}
2022-06-04 21:41:40: {'Acceleration': '(0.08203125, -0.05358887, 0.5175781)', 'Roll': '-9.005931', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '5.838846'}
2022-06-04 21:41:42: {'Acceleration': '(-0.7819824, 0.1368408, 1.223389)', 'Roll': '43.90182', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '1.820103'}
2022-06-04 21:41:43: {'Acceleration': '(-0.1739502, -0.1246338, 1.060181)', 'Roll': '9.31784', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '6.617182'}
2022-06-04 21:41:44: {'Acceleration': '(-0.161499, -0.2042236, 0.9611816)', 'Roll': '9.537825', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '12.27658'}
2022-06-04 21:41:45: {'Acceleration': '(-0.1362305, -0.2686768, 0.9573975)', 'Roll': '8.098393', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.57525'}
2022-06-04 21:41:46: {'Acceleration': '(-0.1315918, -0.2650146, 0.9692383)', 'Roll': '7.448066', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.46881'}
2022-06-04 21:41:47: {'Acceleration': '(-0.1337891, -0.2678223, 0.9650879)', 'Roll': '7.892547', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.40457'}
