Testing SD card write operations: 2022-06-04 21:40:45
2022-06-04 21:41:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:41:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:41:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:41:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:41:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
