Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:13:00: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-11 17:13:00: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-11 17:13:00: {'ssid':'P913', 'bssid':'ef06b8dbe5002e95821ff25c064ba9fe09be0dd18f45026f244ebea90ebf5e04', 'sec':3, 'channel':13, 'rssi':-86}
2022-09-11 17:13:00: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-87}
2022-09-11 17:13:00: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-87}
2022-09-11 17:13:00: {'ssid':'P914', 'bssid':'15a938c184825801319348351384668a49d0b9b9ab5bdce16aca4a9c98e993b9', 'sec':0, 'channel':13, 'rssi':-87}
2022-09-11 17:13:00: {'ssid':'P921', 'bssid':'36b8e8bdc9296c1135453c307ae59c33f3f4c8dfe2be4e3439ec1e2794dc1e56', 'sec':3, 'channel':11, 'rssi':-93}
2022-09-11 17:13:05: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-11 17:13:05: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-76}
2022-09-11 17:13:05: {'ssid':'P915', 'bssid':'a89fc0e31170746034d84615277657635698db3e705388e591fb0a4bcbf21bd7', 'sec':3, 'channel':11, 'rssi':-93}
2022-09-11 17:13:07: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-11 17:13:07: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-11 17:13:07: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-11 17:13:09: {'ssid':'P922', 'bssid':'522e55e3cc232d36cc08c4e744e57b2581aca6534acc1a068251fc5038c2a4b3', 'sec':3, 'channel':1, 'rssi':-90}
2022-09-11 17:13:11: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-80}
2022-09-11 17:13:11: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-81}
2022-09-11 17:13:11: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-82}
2022-09-11 17:13:11: {'ssid':'P923', 'bssid':'50ea9ed5a93ac5bd046436f72b84770cecb416074cbcf96bb1080365205f8ffa', 'sec':4, 'channel':13, 'rssi':-92}
2022-09-11 17:13:13: {'ssid':'P924', 'bssid':'9d416900656286ca0cf7e5e420481f290c2b3083812f0162fa008255d7bbb25c', 'sec':3, 'channel':1, 'rssi':-89}
2022-09-11 17:13:13: {'ssid':'P921', 'bssid':'36b8e8bdc9296c1135453c307ae59c33f3f4c8dfe2be4e3439ec1e2794dc1e56', 'sec':3, 'channel':11, 'rssi':-93}
2022-09-11 17:13:13: {'ssid':'P925', 'bssid':'d4cb3b555294d3a65ee6c9514db078c47e4329bfc55d2657cb9adad40b318e0e', 'sec':4, 'channel':1, 'rssi':-94}
2022-09-11 17:13:15: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-86}
2022-09-11 17:13:15: {'ssid':'P95', 'bssid':'021f0f49b2661b77bc0c5e837058e482f5228a93ff56eb507be95d398103f610', 'sec':5, 'channel':11, 'rssi':-87}
2022-09-11 17:13:15: {'ssid':'P93', 'bssid':'eccf89cb3fca6aafac5a35bc6395087cfc6d7427f5a202fc45eab37173550a8b', 'sec':4, 'channel':6, 'rssi':-88}
2022-09-11 17:13:15: {'ssid':'P917', 'bssid':'41dee7d03aa8225ccaa652d1452709e6a853a2884938de92ca73531a68c259ad', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-11 17:13:15: {'ssid':'P926', 'bssid':'5953eabe6a08d2801f6b93a2ed65f8c97813d14d3bbf5fbfda7bf392eb893283', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-11 17:13:17: {'ssid':'P926', 'bssid':'5953eabe6a08d2801f6b93a2ed65f8c97813d14d3bbf5fbfda7bf392eb893283', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-11 17:13:17: {'ssid':'P919', 'bssid':'3455416a9a67daaaa9700516335ccf177c6ebf1e920efabf8bd5e44dd9ec84c1', 'sec':3, 'channel':1, 'rssi':-95}
2022-09-11 17:13:20: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-76}
2022-09-11 17:13:20: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-77}
2022-09-11 17:13:20: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-78}
2022-09-11 17:13:20: {'ssid':'P927', 'bssid':'bbbb0d0fa8c2a368d85a71ff5ce726c0a43f451acc7581bca1b02c832eb6d470', 'sec':4, 'channel':11, 'rssi':-86}
2022-09-11 17:13:22: {'ssid':'P918', 'bssid':'a6b18823cf6b775225b43080ab46203463e83d1ba8d9cd0aebb7813c7d38e555', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-11 17:13:22: {'ssid':'P93', 'bssid':'eccf89cb3fca6aafac5a35bc6395087cfc6d7427f5a202fc45eab37173550a8b', 'sec':4, 'channel':6, 'rssi':-91}
2022-09-11 17:13:22: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-92}
2022-09-11 17:13:24: {'ssid':'P928', 'bssid':'ae286e017fb1f99c4f1d7c6ebeed1fa5b3abc25c0ec149a5689a9e8520a6fe59', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-11 17:13:24: {'ssid':'P929', 'bssid':'4337b8b40c3e3ccd41cf0ef1d4356be6b4a9a1b6f865061510c69d01a03d74ec', 'sec':4, 'channel':1, 'rssi':-92}
2022-09-11 17:13:24: {'ssid':'P95', 'bssid':'c3d6f7b7a6ee5d7cfa198031acfe21252ea440605f107728950bad701fbd305e', 'sec':5, 'channel':6, 'rssi':-93}
2022-09-11 17:13:26: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-87}
2022-09-11 17:13:26: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-89}
2022-09-11 17:13:26: {'ssid':'P95', 'bssid':'254f314e254759a0597e60ec994212765fbb6ddff6208700e21093c941600c63', 'sec':5, 'channel':6, 'rssi':-90}
2022-09-11 17:13:26: {'ssid':'P96', 'bssid':'3a987b6bff7c5d38b429ba957546c06b51881f1fb815c136c9bbaf7c2c05238f', 'sec':0, 'channel':1, 'rssi':-96}
2022-09-11 17:13:28: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-79}
2022-09-11 17:13:28: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-80}
2022-09-11 17:13:30: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-85}
2022-09-11 17:13:30: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-87}
