Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:12:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6ddc9575f3422cd9311b07060e8953c360e04bc274e0dc1f52671e541828523b', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b28ceac0712e46076eb599997e50681c1b1349a29663c1d70331fc34a6c50700', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-11 17:13:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
