Testing SD card write operations: 2023-01-22 19:26:16
2023-01-22 19:27:02: {'name': None, 'adv_flag': 26, 'rssi': -93, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6d289f6b04a6215d5058ee8396ced15bb5a3b6f98f1bb9ed60ab89dab02a0fc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:03: {'name': None, 'adv_flag': 26, 'rssi': -93, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '6deb302d7c70bd6c65b785551ab17e3565bb693e84ff3e3128199e29ccb2ddaa', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:03: {'name': None, 'adv_flag': None, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:04: {'name': None, 'adv_flag': 2, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '033de1208df97e2c0e8e798ea676e3d0f7379acb403253a99b42469b5d8c523c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:05: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 24, 'def_tx_pwr': 0, 'mac': '2e20e47b9b3718e17d771f2f0d6dc0778bb5080ba5b10df4ed58a15b8606806b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:06: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'c263fe81837e268938cd522b5284bcdc042f1763ff41a3e1add787406c7369c1', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:06: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:07: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:08: {'name': None, 'adv_flag': None, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:09: {'name': None, 'adv_flag': 2, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '716feeeaa2c477b14509edf04a19f1b56b9ec217ec4ffbc468dab9680845b20e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
