Testing SD card write operations: 2022-06-09 16:54:45
2022-06-09 16:55:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:56:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
