Testing SD card write operations: 2022-06-09 16:54:51
2022-06-09 16:55:32: {'Acceleration': '(0.2305908, -0.08837891, 0.9804688)', 'Roll': '-13.23456', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.093909'}
2022-06-09 16:55:33: {'Acceleration': '(0.2248535, -0.0892334, 0.9758301)', 'Roll': '-13.28166', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.07195'}
2022-06-09 16:55:34: {'Acceleration': '(0.2304688, -0.08874512, 0.975708)', 'Roll': '-13.29005', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.058563'}
2022-06-09 16:55:34: {'Acceleration': '(0.230957, -0.09082031, 0.9870605)', 'Roll': '-13.16941', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.973701'}
2022-06-09 16:55:35: {'Acceleration': '(0.2302246, -0.08850098, 0.9827881)', 'Roll': '-13.18418', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.010728'}
2022-06-09 16:55:36: {'Acceleration': '(0.2299805, -0.0892334, 0.9783936)', 'Roll': '-13.22777', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.218768'}
2022-06-09 16:55:37: {'Acceleration': '(0.2266846, -0.0880127, 0.9737549)', 'Roll': '-13.07782', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '4.979738'}
2022-06-09 16:55:38: {'Acceleration': '(0.2293701, -0.08764648, 0.9798584)', 'Roll': '-13.17486', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.977544'}
2022-06-09 16:55:39: {'Acceleration': '(0.2297363, -0.08776855, 0.9761963)', 'Roll': '-13.24292', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.024282'}
2022-06-09 16:55:39: {'Acceleration': '(0.2301025, -0.09008789, 0.9838867)', 'Roll': '-13.11604', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.027157'}
2022-06-09 16:55:40: {'Acceleration': '(0.2312012, -0.08947754, 0.9770508)', 'Roll': '-13.31311', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.917154'}
2022-06-09 16:55:41: {'Acceleration': '(0.2314453, -0.09033203, 0.9718018)', 'Roll': '-13.40288', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.958324'}
2022-06-09 16:55:42: {'Acceleration': '(0.2414551, -0.08337402, 0.9735107)', 'Roll': '-13.92969', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.751732'}
2022-06-09 16:55:43: {'Acceleration': '(0.4737549, 0.03942871, 0.8751221)', 'Roll': '-28.42928', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.268969'}
