Testing SD card write operations: 2022-07-08 08:57:42
2022-07-08 08:58:20: {'Acceleration': '(-0.3706055, -0.03662109, 0.9621582)', 'Roll': '21.31853', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.935994'}
2022-07-08 08:58:21: {'Acceleration': '(-0.3701172, -0.03771973, 0.9532471)', 'Roll': '21.21969', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.934787'}
2022-07-08 08:58:22: {'Acceleration': '(-0.3719482, -0.03430176, 0.9519043)', 'Roll': '21.34264', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.921533'}
2022-07-08 08:58:23: {'Acceleration': '(-0.3745117, -0.03564453, 0.9549561)', 'Roll': '21.47627', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.043001'}
2022-07-08 08:58:24: {'Acceleration': '(-0.3703613, -0.03613281, 0.9527588)', 'Roll': '21.24236', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.02443'}
2022-07-08 08:58:24: {'Acceleration': '(-0.3703613, -0.03674316, 0.9532471)', 'Roll': '21.23245', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.98268'}
2022-07-08 08:58:25: {'Acceleration': '(-0.3747559, -0.03430176, 0.9526367)', 'Roll': '21.47408', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.971123'}
2022-07-08 08:58:26: {'Acceleration': '(-0.37146, -0.0357666, 0.9536133)', 'Roll': '21.28235', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.999753'}
2022-07-08 08:58:27: {'Acceleration': '(-0.3676758, -0.03759766, 0.9538574)', 'Roll': '21.36232', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.062954'}
2022-07-08 08:58:28: {'Acceleration': '(-0.371582, -0.03405762, 0.9536133)', 'Roll': '21.29509', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.905859'}
2022-07-08 08:58:29: {'Acceleration': '(-0.3736572, -0.03735352, 0.9501953)', 'Roll': '21.46686', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '2.056276'}
2022-07-08 08:58:30: {'Acceleration': '(-0.3717041, -0.03637695, 0.9536133)', 'Roll': '21.29509', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.063799'}
2022-07-08 08:58:31: {'Acceleration': '(-0.3719482, -0.03442383, 0.9492188)', 'Roll': '21.22928', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.082649'}
2022-07-08 08:58:31: {'Acceleration': '(-0.3719482, -0.03723145, 0.9554443)', 'Roll': '21.27064', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.07622'}
2022-07-08 08:58:32: {'Acceleration': '(-0.3729248, -0.0369873, 0.9505615)', 'Roll': '21.4211', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.003469'}
2022-07-08 08:58:33: {'Acceleration': '(-0.3748779, -0.0369873, 0.9539795)', 'Roll': '21.16579', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.011805'}
2022-07-08 08:58:34: {'Acceleration': '(-0.3709717, -0.03649902, 0.9530029)', 'Roll': '21.26927', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.055451'}
2022-07-08 08:58:35: {'Acceleration': '(-0.3708496, -0.03833008, 0.9489746)', 'Roll': '21.14448', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.012714'}
2022-07-08 08:58:36: {'Acceleration': '(-0.3719482, -0.03503418, 0.9517822)', 'Roll': '21.34513', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.963565'}
2022-07-08 08:58:37: {'Acceleration': '(-0.369873, -0.03588867, 0.953125)', 'Roll': '21.20942', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.947041'}
2022-07-08 08:58:37: {'Acceleration': '(-0.3734131, -0.03540039, 0.949585)', 'Roll': '21.39414', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.124469'}
2022-07-08 08:58:38: {'Acceleration': '(-0.3719482, -0.03417969, 0.9544678)', 'Roll': '21.29045', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.911035'}
2022-07-08 08:58:39: {'Acceleration': '(-0.3735352, -0.03710938, 0.9533691)', 'Roll': '21.39551', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.990198'}
2022-07-08 08:58:40: {'Acceleration': '(-0.3679199, -0.03540039, 0.9611816)', 'Roll': '21.10784', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.992487'}
2022-07-08 08:58:41: {'Acceleration': '(-0.3723145, -0.03552246, 0.9523926)', 'Roll': '21.35179', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.089963'}
