Testing SD card write operations: 2022-05-20 19:55:37
2022-05-20 19:56:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6e872e41f408a589373b10f7bcc55681a325a0de7d2dab6648b73932', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '920001eb9b7cd0854f33ecc33cda1e66e780bc9686a7ae8d015431f7', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0eb6a6ae894192943b009cbc7fe59f82d225fba08b27f9427d48e876', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:56:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ce8eccfb38df1e8d1f82ca7ac223be09f1f57c8fc14446c1f2727b1f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a278084d97a4643577d147162b5ca8413ae4404019fce4f0f5c062d3', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4d625d971f0cd54c881375481faf3bbe03e0bb1869c268de2725f56c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 19:56:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '424979f4cae25df3e89b99ee7b63746cca94ce8e50ddc3df6c27c14e', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '2cb232ead1bcf1c44fef4aa3cca871a7e8d45a289de28273fd038c29', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
