Testing SD card write operations: 2022-03-30 09:54:20
2022-03-30 09:54:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59fc23f16d5396fcebf7569a3ce378ba189853814c9dd9a341709075', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:58: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': '94c63edae1d4ccac7a392479fbb48913f782f9ab3cfd9cb667045a43', 'rssi': -75, 'name': 'Ob10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:54:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59fc23f16d5396fcebf7569a3ce378ba189853814c9dd9a341709075', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:02: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': '94c63edae1d4ccac7a392479fbb48913f782f9ab3cfd9cb667045a43', 'rssi': -76, 'name': 'Ob10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
