File is openned: 2022-03-30 09:54:23
2022-03-30 09:55:07: {'Acceleration': '(-0.1743164, 0.07006836, 0.9907227)', 'Roll': '10.09553', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.970585'}
2022-03-30 09:55:08: {'Acceleration': '(-0.1739502, 0.07116699, 0.9891357)', 'Roll': '9.929659', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.877314'}
2022-03-30 09:55:09: {'Acceleration': '(-0.1733398, 0.07177734, 0.9893799)', 'Roll': '9.93739', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.837798'}
2022-03-30 09:55:10: {'Acceleration': '(-0.1781006, 0.0715332, 0.9854736)', 'Roll': '10.24425', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.751851'}
2022-03-30 09:55:11: {'Acceleration': '(-0.1727295, 0.06994629, 0.9863281)', 'Roll': '9.974401', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.904917'}
2022-03-30 09:55:12: {'Acceleration': '(-0.1732178, 0.06848145, 0.9907227)', 'Roll': '9.926416', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-4.00026'}
2022-03-30 09:55:13: {'Acceleration': '(-0.1730957, 0.06860352, 0.9899902)', 'Roll': '9.970099', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.021154'}
2022-03-30 09:55:14: {'Acceleration': '(-0.1730957, 0.06860352, 0.9899902)', 'Roll': '9.921273', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.016119'}
2022-03-30 09:55:15: {'Acceleration': '(-0.1740723, 0.06835938, 0.9838867)', 'Roll': '10.03312', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.001223'}
2022-03-30 09:55:16: {'Acceleration': '(-0.1726074, 0.06774902, 0.989624)', 'Roll': '9.89384', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.858254'}
2022-03-30 09:55:17: {'Acceleration': '(-0.175293, 0.06860352, 0.9829102)', 'Roll': '9.835774', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.920104'}
2022-03-30 09:55:19: {'Acceleration': '(-0.1744385, 0.0682373, 0.9840088)', 'Roll': '10.05257', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.906186'}
2022-03-30 09:55:20: {'Acceleration': '(-0.1695557, 0.07373047, 0.989624)', 'Roll': '10.03781', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.925829'}
2022-03-30 09:55:21: {'Acceleration': '(-0.1744385, 0.07202148, 0.9919434)', 'Roll': '9.924531', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.064249'}
2022-03-30 09:55:22: {'Acceleration': '(-0.1727295, 0.07080078, 0.9819336)', 'Roll': '10.01963', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.869258'}
2022-03-30 09:55:23: {'Acceleration': '(-0.1730957, 0.07128906, 0.9897461)', 'Roll': '9.853296', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.811979'}
2022-03-30 09:55:24: {'Acceleration': '(-0.1740723, 0.06945801, 0.9862061)', 'Roll': '10.01', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.747174'}
2022-03-30 09:55:25: {'Acceleration': '(-0.1729736, 0.07006836, 0.993042)', 'Roll': '9.880964', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.702478'}
2022-03-30 09:55:26: {'Acceleration': '(-0.175293, 0.06896973, 0.9884033)', 'Roll': '10.05682', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.003123'}
2022-03-30 09:55:27: {'Acceleration': '(-0.1728516, 0.07080078, 0.9910889)', 'Roll': '9.893203', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.863955'}
2022-03-30 09:55:28: {'Acceleration': '(-0.1710205, 0.06982422, 0.9921875)', 'Roll': '9.77981', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.970969'}
