Testing SD card write operations: 2022-07-08 16:20:44
2022-07-08 16:21:19: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 16:21:19: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-61}
2022-07-08 16:21:19: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-68}
2022-07-08 16:21:21: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-60}
2022-07-08 16:21:21: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-61}
2022-07-08 16:21:21: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-08 16:21:23: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-58}
2022-07-08 16:21:23: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-60}
2022-07-08 16:21:23: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-08 16:21:24: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 16:21:24: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-61}
2022-07-08 16:21:24: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-08 16:21:26: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 16:21:26: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-59}
