Testing SD card write operations: 2022-07-08 16:20:44
2022-07-08 16:21:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '19eec0c5d72f4fa1e43841bc86f603231588b1926039efb0b4e932b51496e58f', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 16:21:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dd2e3ed9dc30478ffcfcfd2aa8e038f3ce75cdebead6acb44b28e3814c7bb5e7', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dd2e3ed9dc30478ffcfcfd2aa8e038f3ce75cdebead6acb44b28e3814c7bb5e7', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ab955f411ad007d44966f4947d3becf1a5787c9759faae7150e5a8ec63793a5', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '555ea10254ea9d3c21e9c98e338673bf8855272e652ec0c00d86a053ea22ad66', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:48: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '87327ada538c3ffc293859f5d721410329353ddf0ad8359885d2bd936326eccd', 'rssi': -74, 'name': 'Tb10\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:49: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '87327ada538c3ffc293859f5d721410329353ddf0ad8359885d2bd936326eccd', 'rssi': -74, 'name': 'Tb10\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbcc84bdc7a0c7416cfada371c3f6ec11a5e9c044a826edaf9f7d9431b6687cb', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4159fb3b1557f0d86b63e85c3d91af89a8c24a0f619ba0d2f2c0f5af007afdb9', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ab955f411ad007d44966f4947d3becf1a5787c9759faae7150e5a8ec63793a5', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:52: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '87327ada538c3ffc293859f5d721410329353ddf0ad8359885d2bd936326eccd', 'rssi': -67, 'name': 'Tb10\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbcc84bdc7a0c7416cfada371c3f6ec11a5e9c044a826edaf9f7d9431b6687cb', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:53: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '11e9ed4ac5891bbd78a515bbfb0324d4faa9466c96845254e6e3f5bf6d0c74a2', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:54: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '87327ada538c3ffc293859f5d721410329353ddf0ad8359885d2bd936326eccd', 'rssi': -70, 'name': 'Tb10\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbcc84bdc7a0c7416cfada371c3f6ec11a5e9c044a826edaf9f7d9431b6687cb', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:56: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '87327ada538c3ffc293859f5d721410329353ddf0ad8359885d2bd936326eccd', 'rssi': -67, 'name': 'Tb10\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
