Testing SD card write operations: 2022-05-22 10:48:40
2022-05-22 10:49:47: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:47: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-77}
2022-05-22 10:49:47: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-77}
2022-05-22 10:49:49: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-22 10:49:49: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:49: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:51: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-49}
2022-05-22 10:49:51: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-76}
2022-05-22 10:49:51: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-76}
2022-05-22 10:49:53: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:53: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:53: {'ssid':'R15', 'bssid':'cb9e00fe524f9c87e4ec36deb0211ca53f634a4f681161f1ebfc184d', 'sec':3, 'channel':11, 'rssi':-88}
2022-05-22 10:49:55: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-22 10:49:55: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-53}
2022-05-22 10:49:55: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-54}
2022-05-22 10:49:56: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-22 10:49:56: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-54}
2022-05-22 10:49:56: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-57}
2022-05-22 10:49:58: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-22 10:49:58: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-57}
2022-05-22 10:49:58: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-57}
2022-05-22 10:49:58: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-76}
2022-05-22 10:49:58: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-77}
2022-05-22 10:50:00: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:50:00: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-56}
2022-05-22 10:50:02: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:50:02: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-59}
2022-05-22 10:50:02: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-80}
2022-05-22 10:50:04: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:04: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-22 10:50:04: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-89}
2022-05-22 10:50:06: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-58}
2022-05-22 10:50:08: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-51}
2022-05-22 10:50:08: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-51}
2022-05-22 10:50:08: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-62}
2022-05-22 10:50:08: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-83}
2022-05-22 10:50:10: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-47}
2022-05-22 10:50:10: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-73}
2022-05-22 10:50:10: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-74}
2022-05-22 10:50:10: {'ssid':'R16', 'bssid':'bca73504b1be949bece175757999a07b8c880e6ed14ba909051479be', 'sec':4, 'channel':3, 'rssi':-89}
2022-05-22 10:50:12: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:12: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-58}
2022-05-22 10:50:12: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-82}
2022-05-22 10:50:12: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-82}
2022-05-22 10:50:14: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-63}
2022-05-22 10:50:14: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-81}
2022-05-22 10:50:14: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-81}
2022-05-22 10:50:15: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-46}
2022-05-22 10:50:15: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-47}
