Testing SD card write operations: 2022-05-22 10:49:13
2022-05-22 10:49:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '424dde384dfba56b527c1918579cfeeef17cef75e434e98418b8869fb31af13f', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f955464b1c13af139be8d91a5d5a338cdd207a2aa9f9ae2ddcd722006a72765e', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8678154b42c01248508234c99b407de09c0474740f10e3ddadbf41f3575ac7cd', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57ca787da24ceb8f97efc8cc8d7a40aa9aec18bc2fb317429e89f354cc7cf104', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7e154598f6d9fe750e00e80c5ef604ed071f4599422d777e531a44701f1463e6', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5716fe1c00beec249c24b3f3dc2a15fbe406c695aa7cec4e1f499c186dee1e66', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57ca787da24ceb8f97efc8cc8d7a40aa9aec18bc2fb317429e89f354cc7cf104', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4adddb11337f478a2afcb0b31ac6455f7e5eade7c095f44b11d2b3599eb5b848', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e0803d48fba71a4c71cb54d80b08527d6fc5a46ae615c9392705b246facc8419', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57ca787da24ceb8f97efc8cc8d7a40aa9aec18bc2fb317429e89f354cc7cf104', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5716fe1c00beec249c24b3f3dc2a15fbe406c695aa7cec4e1f499c186dee1e66', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '790ec3a8cb4ec988d50c0d3047e59c84776a528707c40158791fdd1f05fadcc8', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4adddb11337f478a2afcb0b31ac6455f7e5eade7c095f44b11d2b3599eb5b848', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '25ee2835291113d1c2bd5d956fd58304546e546038e05936ff19b776a81a878e', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '25ee2835291113d1c2bd5d956fd58304546e546038e05936ff19b776a81a878e', 'rssi': -99, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4adddb11337f478a2afcb0b31ac6455f7e5eade7c095f44b11d2b3599eb5b848', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f955464b1c13af139be8d91a5d5a338cdd207a2aa9f9ae2ddcd722006a72765e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8a22cc0f034c2114fdf7072d1c1df5fbf91fe6d1b17b0abdfdebe81794863502', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9e4bf5a345db83a82e5b74bddd586c6be77ff65550a5635dff42a08cf5379ae1', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4adddb11337f478a2afcb0b31ac6455f7e5eade7c095f44b11d2b3599eb5b848', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f955464b1c13af139be8d91a5d5a338cdd207a2aa9f9ae2ddcd722006a72765e', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7e154598f6d9fe750e00e80c5ef604ed071f4599422d777e531a44701f1463e6', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f955464b1c13af139be8d91a5d5a338cdd207a2aa9f9ae2ddcd722006a72765e', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57ca787da24ceb8f97efc8cc8d7a40aa9aec18bc2fb317429e89f354cc7cf104', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7e154598f6d9fe750e00e80c5ef604ed071f4599422d777e531a44701f1463e6', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '790ec3a8cb4ec988d50c0d3047e59c84776a528707c40158791fdd1f05fadcc8', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8a22cc0f034c2114fdf7072d1c1df5fbf91fe6d1b17b0abdfdebe81794863502', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ea5c65e05ca470cc571c89ffb3ce23433d5750265ae5dcef8b94ffbdc2d75469', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '242349e11170b41dd7556563f6a1d0c21e26c288b40928656df5adb001564b47', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57ca787da24ceb8f97efc8cc8d7a40aa9aec18bc2fb317429e89f354cc7cf104', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08fac9c89dd2573d204f04f73e97f08ecce0e224697405e4795bb20f6661b987', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '242349e11170b41dd7556563f6a1d0c21e26c288b40928656df5adb001564b47', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8a22cc0f034c2114fdf7072d1c1df5fbf91fe6d1b17b0abdfdebe81794863502', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:24: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '969b265eea57141de756e708cba12ef80b2fe9fe870aeb2dc34c3aa92c71ab3f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
