File is openned: 2022-05-22 10:48:46
2022-05-22 10:50:00: {'Acceleration': '(-0.4394531, 0.8829346, -0.2047119)', 'Roll': '115.537', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-60.96732'}
2022-05-22 10:50:01: {'Acceleration': '(-0.4368896, 0.8797607, -0.2076416)', 'Roll': '115.4204', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-61.19649'}
2022-05-22 10:50:02: {'Acceleration': '(-0.4406738, 0.8835449, -0.2075195)', 'Roll': '114.5371', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-61.28391'}
2022-05-22 10:50:03: {'Acceleration': '(-0.4458008, 0.881958, -0.2042236)', 'Roll': '114.6128', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-60.92674'}
2022-05-22 10:50:04: {'Acceleration': '(-0.4910889, 0.9104004, 0.01843262)', 'Roll': '87.85046', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-64.64171'}
2022-05-22 10:50:05: {'Acceleration': '(-0.3936768, 0.8962402, -0.3018799)', 'Roll': '127.4818', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-61.03407'}
2022-05-22 10:50:06: {'Acceleration': '(-0.4342041, 0.8664551, -0.2830811)', 'Roll': '123.1025', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-59.57055'}
2022-05-22 10:50:07: {'Acceleration': '(-0.4091797, 0.8729248, -0.2943115)', 'Roll': '125.1134', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-60.33118'}
2022-05-22 10:50:08: {'Acceleration': '(-0.3525391, 0.9194336, -0.2752686)', 'Roll': '127.9833', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-64.05847'}
2022-05-22 10:50:09: {'Acceleration': '(-0.5823975, 0.8365479, 0.1271973)', 'Roll': '77.6799', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-57.18015'}
2022-05-22 10:50:10: {'Acceleration': '(-0.4492188, 0.8435059, 0.3046875)', 'Roll': '55.85248', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-57.23852'}
2022-05-22 10:50:11: {'Acceleration': '(-0.560791, 0.7696533, 0.3381348)', 'Roll': '58.91168', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.68363'}
2022-05-22 10:50:12: {'Acceleration': '(-0.5662842, 0.7696533, 0.338623)', 'Roll': '59.12169', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.3943'}
2022-05-22 10:50:13: {'Acceleration': '(-0.5638428, 0.7670898, 0.3347168)', 'Roll': '59.30515', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.51264'}
2022-05-22 10:50:15: {'Acceleration': '(-0.5668945, 0.7668457, 0.3413086)', 'Roll': '58.94923', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.20911'}
2022-05-22 10:50:16: {'Acceleration': '(-0.5638428, 0.7696533, 0.3389893)', 'Roll': '59.61801', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.51284'}
2022-05-22 10:50:17: {'Acceleration': '(-0.5682373, 0.7664795, 0.3394775)', 'Roll': '59.14497', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.18659'}
2022-05-22 10:50:18: {'Acceleration': '(-0.5689697, 0.7677002, 0.3380127)', 'Roll': '59.76661', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.60188'}
2022-05-22 10:50:19: {'Acceleration': '(-0.5651855, 0.767334, 0.3300781)', 'Roll': '59.71433', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.53684'}
2022-05-22 10:50:20: {'Acceleration': '(-0.5666504, 0.7659912, 0.3355713)', 'Roll': '59.36591', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.23074'}
2022-05-22 10:50:21: {'Acceleration': '(-0.5650635, 0.7674561, 0.3406982)', 'Roll': '59.07062', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.29038'}
2022-05-22 10:50:22: {'Acceleration': '(-0.567749, 0.7655029, 0.3363037)', 'Roll': '59.3598', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.23804'}
2022-05-22 10:50:23: {'Acceleration': '(-0.5689697, 0.7659912, 0.3347168)', 'Roll': '59.12723', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.23558'}
2022-05-22 10:50:24: {'Acceleration': '(-0.5654297, 0.7651367, 0.3345947)', 'Roll': '59.38495', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.3478'}
2022-05-22 10:50:25: {'Acceleration': '(-0.5670166, 0.7645264, 0.3322754)', 'Roll': '59.62942', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.42501'}
