Testing SD card write operations: 2022-09-16 16:39:07
2022-09-16 16:41:20: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:41:22: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:41:24: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-44}
2022-09-16 16:41:26: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-16 16:41:28: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-36}
2022-09-16 16:41:30: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:41:31: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:41:33: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:41:35: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:41:39: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-36}
2022-09-16 16:41:41: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:41:43: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:41:44: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:41:46: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-34}
2022-09-16 16:41:50: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:41:52: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:41:54: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:41:56: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:41:57: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:41:59: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:42:01: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:42:03: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:42:05: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:42:07: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-37}
2022-09-16 16:42:09: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-38}
