Testing SD card write operations: 2022-09-16 16:39:13
2022-09-16 16:40:03: {'Acceleration': '(-0.2794189, -0.001586914, 0.9691162)', 'Roll': '15.76327', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '0.1173946'}
2022-09-16 16:40:04: {'Acceleration': '(-0.288208, 0.0111084, 0.9796143)', 'Roll': '16.40962', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.4857111'}
2022-09-16 16:40:04: {'Acceleration': '(-0.293457, 0.01062012, 0.9718018)', 'Roll': '16.63325', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.5864894'}
2022-09-16 16:40:05: {'Acceleration': '(-0.2991943, 0.005737305, 0.9804688)', 'Roll': '16.70056', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-0.04804316'}
2022-09-16 16:40:06: {'Acceleration': '(-0.2838135, -0.002075195, 0.9884033)', 'Roll': '16.13067', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.06161148'}
2022-09-16 16:40:07: {'Acceleration': '(-0.1933594, -0.03479004, 1.01123)', 'Roll': '10.9721', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '1.898215'}
2022-09-16 16:40:08: {'Acceleration': '(-0.166748, -0.0402832, 1.013306)', 'Roll': '9.846821', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '2.4328'}
2022-09-16 16:40:09: {'Acceleration': '(-0.1816406, -0.04260254, 1.005859)', 'Roll': '9.90514', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '2.189128'}
2022-09-16 16:40:09: {'Acceleration': '(-0.1838379, -0.03833008, 1.013062)', 'Roll': '10.36115', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '2.086746'}
2022-09-16 16:40:10: {'Acceleration': '(-0.1783447, -0.03393555, 1.015137)', 'Roll': '10.11165', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '1.206657'}
2022-09-16 16:40:11: {'Acceleration': '(-0.1879883, -0.04138184, 1.022827)', 'Roll': '10.37925', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '1.785758'}
2022-09-16 16:40:12: {'Acceleration': '(-0.1911621, -0.03930664, 1.004395)', 'Roll': '10.87792', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '2.094444'}
2022-09-16 16:40:13: {'Acceleration': '(-0.1772461, -0.02685547, 1.018433)', 'Roll': '10.61088', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '1.061034'}
2022-09-16 16:40:14: {'Acceleration': '(-0.1756592, -0.02429199, 1.005859)', 'Roll': '9.241937', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '1.380693'}
2022-09-16 16:40:14: {'Acceleration': '(-0.1876221, -0.03063965, 0.9730225)', 'Roll': '10.30913', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '2.003388'}
2022-09-16 16:40:15: {'Acceleration': '(-0.1772461, -0.0402832, 1.008301)', 'Roll': '9.749413', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '2.304686'}
2022-09-16 16:40:16: {'Acceleration': '(-0.1741943, -0.02587891, 0.9110107)', 'Roll': '10.06265', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '2.118839'}
2022-09-16 16:40:17: {'Acceleration': '(-0.1843262, -0.04724121, 0.9707031)', 'Roll': '10.86062', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '2.529119'}
2022-09-16 16:40:18: {'Acceleration': '(-0.2185059, -0.01489258, 1.009033)', 'Roll': '12.85647', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.9976359'}
2022-09-16 16:40:19: {'Acceleration': '(-0.2077637, -0.006591797, 1.032349)', 'Roll': '11.65949', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.4843382'}
2022-09-16 16:40:19: {'Acceleration': '(-0.2235107, -0.01879883, 1.011963)', 'Roll': '12.8993', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '1.797153'}
2022-09-16 16:40:20: {'Acceleration': '(-0.2387695, -0.02209473, 0.9870605)', 'Roll': '13.58011', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '1.232444'}
2022-09-16 16:40:21: {'Acceleration': '(-0.2319336, -0.005981445, 0.998291)', 'Roll': '12.66353', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '1.421171'}
2022-09-16 16:40:22: {'Acceleration': '(-0.28479, -0.03222656, 0.9926758)', 'Roll': '15.9426', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '1.787946'}
2022-09-16 16:40:23: {'Acceleration': '(-0.3239746, -0.02746582, 1.027222)', 'Roll': '16.74608', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '1.466683'}
2022-09-16 16:40:24: {'Acceleration': '(-0.3222656, -0.078125, 0.9744873)', 'Roll': '17.62375', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '4.369342'}
2022-09-16 16:40:24: {'Acceleration': '(-0.3148193, -0.008666992, 0.8988037)', 'Roll': '19.30356', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.521417'}
2022-09-16 16:40:25: {'Acceleration': '(-0.3713379, -0.1241455, 1.070557)', 'Roll': '18.57399', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.272958'}
2022-09-16 16:40:26: {'Acceleration': '(-0.2885742, -0.1048584, 1.043701)', 'Roll': '17.74467', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.280576'}
2022-09-16 16:40:27: {'Acceleration': '(-0.3482666, -0.08056641, 0.9906006)', 'Roll': '19.3702', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '4.387546'}
2022-09-16 16:40:28: {'Acceleration': '(-0.3487549, -0.07312012, 0.9202881)', 'Roll': '20.75484', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '4.24912'}
2022-09-16 16:40:29: {'Acceleration': '(-0.4066162, 0.002563477, 0.8079834)', 'Roll': '26.71374', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.1623783'}
2022-09-16 16:40:30: {'Acceleration': '(-0.3443604, -0.009033203, 0.9106445)', 'Roll': '20.71412', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.5315944'}
2022-09-16 16:40:30: {'Acceleration': '(-0.4782715, -0.01428223, 0.899292)', 'Roll': '28.00544', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.8033455'}
2022-09-16 16:40:31: {'Acceleration': '(-0.4898682, 0.02612305, 0.8592529)', 'Roll': '29.68787', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.512908'}
2022-09-16 16:40:32: {'Acceleration': '(-0.479248, -0.03076172, 0.881958)', 'Roll': '28.51926', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '1.855979'}
2022-09-16 16:40:33: {'Acceleration': '(-0.5355225, 0.06860352, 0.9727783)', 'Roll': '28.83314', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-3.695286'}
2022-09-16 16:40:34: {'Acceleration': '(-0.4554443, 0.07836914, 0.9344482)', 'Roll': '25.98432', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-4.197079'}
2022-09-16 16:40:35: {'Acceleration': '(-0.4602051, 0.08007813, 0.8432617)', 'Roll': '28.62324', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-6.905672'}
2022-09-16 16:40:35: {'Acceleration': '(-0.4643555, 0.1097412, 0.9100342)', 'Roll': '27.03347', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-6.569386'}
2022-09-16 16:40:36: {'Acceleration': '(-0.5111084, 0.1715088, 0.9786377)', 'Roll': '27.5765', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-8.211107'}
2022-09-16 16:40:37: {'Acceleration': '(-0.4893799, 0.1578369, 0.9224854)', 'Roll': '27.74286', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-7.44249'}
2022-09-16 16:40:38: {'Acceleration': '(-0.4914551, 0.130127, 0.9207764)', 'Roll': '27.89033', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-6.722831'}
2022-09-16 16:40:39: {'Acceleration': '(-0.4598389, 0.06640625, 0.9284668)', 'Roll': '27.11864', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-4.224083'}
2022-09-16 16:40:40: {'Acceleration': '(-0.4915771, 0.03710938, 0.8929443)', 'Roll': '28.99535', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.9902736'}
2022-09-16 16:40:40: {'Acceleration': '(-0.5532227, 0.02453613, 0.9447021)', 'Roll': '30.4172', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-1.42988'}
2022-09-16 16:40:41: {'Acceleration': '(-0.4987793, -0.02416992, 0.8215332)', 'Roll': '31.26329', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '1.440593'}
2022-09-16 16:40:42: {'Acceleration': '(-0.4382324, 0.005859375, 0.8514404)', 'Roll': '27.23467', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.3505776'}
2022-09-16 16:40:43: {'Acceleration': '(-0.8134766, 0.1561279, 0.9995117)', 'Roll': '39.14124', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-6.907762'}
2022-09-16 16:40:44: {'Acceleration': '(-0.4505615, 0.1422119, 0.8997803)', 'Roll': '26.59924', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-8.043979'}
2022-09-16 16:40:44: {'Acceleration': '(-0.4759521, 0.1114502, 1.05603)', 'Roll': '24.26106', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.495864'}
2022-09-16 16:40:45: {'Acceleration': '(-0.4631348, 0.1322021, 0.9158936)', 'Roll': '26.8241', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-7.33988'}
2022-09-16 16:40:46: {'Acceleration': '(-0.4425049, 0.1103516, 0.9610596)', 'Roll': '24.72297', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.611822'}
2022-09-16 16:40:47: {'Acceleration': '(-0.4915771, 0.09912109, 0.9553223)', 'Roll': '27.22885', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.286986'}
