Testing SD card write operations: 2022-07-07 16:03:57
2022-07-07 16:04:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'23320ec8e936', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'092af0c136e1', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'60235041c4b2', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'376babe9b4f0', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'681b6b0b62a4', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 16:04:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'681b6b0b62a4', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 16:04:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'491b1dfb7be8', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:38: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'4df57ab16d5a', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'092af0c136e1', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0f8c9081998b', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c1d5231c6777', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'491b1dfb7be8', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:42: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'4df57ab16d5a', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'092af0c136e1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4b63d4a7072a', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'092af0c136e1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'53f05c120240', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'53f05c120240', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'376babe9b4f0', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4b63d4a7072a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'584dd1a71d9c', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'60235041c4b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65a10acee2ee', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'60235041c4b2', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7273359da6e9', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:56: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5f27820cad6e', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0010b1d40f4b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'33ae84f3dfd8', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65a10acee2ee', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:00: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'4df57ab16d5a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'23320ec8e936', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'60235041c4b2', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'63eaae7be46c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4b63d4a7072a', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:06: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5f27820cad6e', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'cc8c349c9496', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65a10acee2ee', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'092af0c136e1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65a10acee2ee', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b38ed52f08f', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'092af0c136e1', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65a10acee2ee', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'46c5ae1af18b', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 16:05:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0010b1d40f4b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
