Testing SD card write operations: 2022-07-06 14:49:25
2022-07-06 14:53:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8d03b09b8b5683adb584f45e5eb30501a0ce482390aabb03524cdff0f61ede7a', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68e2292da5438604f30e662b9912bdf91ec59e9c8bd2975eeefb0de120765264', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68e2292da5438604f30e662b9912bdf91ec59e9c8bd2975eeefb0de120765264', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:25: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '95e1fbf7c5e248659e41dcf7da6bc2d89b219da022d5d8b9d23ddfbabe629b6c', 'rssi': -83, 'name': 'Tb121', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '27beca96e6e6e11b8811e4ad472ebf353c1f8b8b7c165034bccd19cdd2984262', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'af5cabecce7fa2c404c4425db1dcae3c2eb81b41d3022fc343b6941123c73b97', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9e7e0df15b00a6d610d7462e007f036f2a20ed1ec2befc07a11c8696f324eedf', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:53:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1778343ef73db887c1ae4ad91e1abc3d1ec8ca673857018fec61ca9ea0f52a40', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:53:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '57424b853c74244b3bb73a57c28ce5bda035e62da1405f7cee4e25de030812a9', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 14:53:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'af5cabecce7fa2c404c4425db1dcae3c2eb81b41d3022fc343b6941123c73b97', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ff45a42deca4e64b8f597cac1d06df5cd55221cc047010f5ca78c6dfea76de8', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 14:53:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f573402b6c517ac73916a8d2254fce22b65a4dd4dbeb68e938d07cd55023e3b0', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '265752a55c94c732420a5487c912a9505574b9164f73de6ffed516712c73341b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9e7e0df15b00a6d610d7462e007f036f2a20ed1ec2befc07a11c8696f324eedf', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:53:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '27beca96e6e6e11b8811e4ad472ebf353c1f8b8b7c165034bccd19cdd2984262', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:43: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '737066d480041d266133c0e6477f1e5bb57dfaa4fe8b72573b4d079db0352240', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9acebcd7e0656c8fa53aa64248dd97f3c8966d2295ac19d77a75dc08f9678096', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:53:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ebbd31d1d07914ecf43cb10fef3f128fbfda7da057e5c097546377d77a98e892', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
