File is openned: 2022-05-26 08:07:59
2022-05-26 08:08:56: {'Acceleration': '(-0.03930664, -0.02441406, 1.012573)', 'Roll': '2.223024', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.389509'}
2022-05-26 08:08:57: {'Acceleration': '(-0.03796387, -0.02587891, 1.008179)', 'Roll': '2.232704', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.780978'}
2022-05-26 08:08:58: {'Acceleration': '(-0.03796387, -0.02539063, 1.016479)', 'Roll': '2.125168', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.443652'}
2022-05-26 08:08:59: {'Acceleration': '(-0.03759766, -0.02514648, 1.015503)', 'Roll': '2.300764', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.647411'}
2022-05-26 08:09:00: {'Acceleration': '(-0.03552246, -0.02685547, 1.010742)', 'Roll': '2.012828', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.521055'}
2022-05-26 08:09:01: {'Acceleration': '(-0.03979492, -0.02978516, 1.013428)', 'Roll': '2.248715', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.682172'}
2022-05-26 08:09:02: {'Acceleration': '(-0.03820801, -0.02661133, 1.011597)', 'Roll': '2.163033', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.505817'}
2022-05-26 08:09:03: {'Acceleration': '(-0.03710938, -0.0291748, 1.005005)', 'Roll': '2.300794', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.652363'}
2022-05-26 08:09:04: {'Acceleration': '(-0.03833008, -0.02722168, 1.009766)', 'Roll': '2.173868', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.543118'}
2022-05-26 08:09:05: {'Acceleration': '(-0.03808594, -0.02941895, 1.004639)', 'Roll': '2.317022', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.543887'}
2022-05-26 08:09:07: {'Acceleration': '(-0.0402832, -0.02661133, 1.014771)', 'Roll': '2.273269', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.666339'}
2022-05-26 08:09:08: {'Acceleration': '(-0.03820801, -0.02758789, 1.011841)', 'Roll': '2.162512', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.560674'}
2022-05-26 08:09:09: {'Acceleration': '(-0.0357666, -0.02941895, 1.015503)', 'Roll': '2.03229', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.629'}
2022-05-26 08:09:10: {'Acceleration': '(-0.03894043, -0.02746582, 1.012695)', 'Roll': '2.202068', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.579163'}
2022-05-26 08:09:11: {'Acceleration': '(-0.03759766, -0.02844238, 1.010864)', 'Roll': '2.130053', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.610576'}
2022-05-26 08:09:12: {'Acceleration': '(-0.03552246, -0.02770996, 1.016724)', 'Roll': '2.237356', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.345967'}
2022-05-26 08:09:13: {'Acceleration': '(-0.03637695, -0.02648926, 1.012207)', 'Roll': '2.070951', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.61814'}
2022-05-26 08:09:14: {'Acceleration': '(-0.04003906, -0.02746582, 1.012207)', 'Roll': '2.265222', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.579047'}
2022-05-26 08:09:15: {'Acceleration': '(-0.03771973, -0.02746582, 1.004517)', 'Roll': '2.150453', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.565107'}
2022-05-26 08:09:16: {'Acceleration': '(-0.0390625, -0.02929688, 1.011841)', 'Roll': '2.210827', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.539685'}
2022-05-26 08:09:17: {'Acceleration': '(-0.04040527, -0.02636719, 1.011475)', 'Roll': '2.290334', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.556076'}
2022-05-26 08:09:18: {'Acceleration': '(-0.03747559, -0.02783203, 1.016968)', 'Roll': '2.315745', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.623601'}
2022-05-26 08:09:19: {'Acceleration': '(-0.03942871, -0.02893066, 1.009521)', 'Roll': '2.236655', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.640272'}
2022-05-26 08:09:21: {'Acceleration': '(-0.04003906, -0.02490234, 1.019409)', 'Roll': '2.249235', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.398277'}
2022-05-26 08:09:22: {'Acceleration': '(-0.04040527, -0.0255127, 1.016968)', 'Roll': '2.275229', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.435947'}
2022-05-26 08:09:23: {'Acceleration': '(-0.03930664, -0.02697754, 1.012695)', 'Roll': '2.222756', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.593583'}
2022-05-26 08:09:24: {'Acceleration': '(-0.03991699, -0.02856445, 1.012085)', 'Roll': '2.258595', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.624389'}
2022-05-26 08:09:25: {'Acceleration': '(-0.03686523, -0.02709961, 1.012451)', 'Roll': '2.085325', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.628676'}
2022-05-26 08:09:26: {'Acceleration': '(-0.04003906, -0.02905273, 1.014404)', 'Roll': '2.260321', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.488176'}
2022-05-26 08:09:27: {'Acceleration': '(-0.04064941, -0.02844238, 1.011597)', 'Roll': '2.293362', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.624456'}
2022-05-26 08:09:28: {'Acceleration': '(-0.03771973, -0.02539063, 1.011353)', 'Roll': '2.150781', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.465463'}
2022-05-26 08:09:29: {'Acceleration': '(-0.03845215, -0.02709961, 1.013062)', 'Roll': '2.173697', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.651607'}
2022-05-26 08:09:30: {'Acceleration': '(-0.03674316, -0.02734375, 1.01123)', 'Roll': '2.080932', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.547884'}
2022-05-26 08:09:31: {'Acceleration': '(-0.03723145, -0.03186035, 1.010864)', 'Roll': '2.109324', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.521153'}
2022-05-26 08:09:32: {'Acceleration': '(-0.0402832, -0.02685547, 1.017456)', 'Roll': '2.267275', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.510772'}
2022-05-26 08:09:34: {'Acceleration': '(-0.04052734, -0.02697754, 1.011841)', 'Roll': '2.293646', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.526026'}
2022-05-26 08:09:35: {'Acceleration': '(-0.04150391, -0.02758789, 1.015747)', 'Roll': '2.339831', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.397747'}
2022-05-26 08:09:36: {'Acceleration': '(-0.04101563, -0.0279541, 1.006104)', 'Roll': '2.056565', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.576427'}
2022-05-26 08:09:37: {'Acceleration': '(-0.04016113, -0.02575684, 1.011108)', 'Roll': '2.27349', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.678316'}
2022-05-26 08:09:38: {'Acceleration': '(-0.03857422, -0.02893066, 1.012573)', 'Roll': '2.181641', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.532737'}
2022-05-26 08:09:39: {'Acceleration': '(-0.03466797, -0.02575684, 1.012573)', 'Roll': '1.960898', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.446516'}
2022-05-26 08:09:40: {'Acceleration': '(-0.03930664, -0.02233887, 1.017578)', 'Roll': '2.157194', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.25672'}
2022-05-26 08:09:41: {'Acceleration': '(-0.03747559, -0.02587891, 1.019043)', 'Roll': '2.373383', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.508307'}
2022-05-26 08:09:42: {'Acceleration': '(-0.03735352, -0.02783203, 1.01355)', 'Roll': '2.259328', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.537498'}
2022-05-26 08:09:43: {'Acceleration': '(-0.03820801, -0.02612305, 1.008667)', 'Roll': '2.267074', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.547132'}
2022-05-26 08:09:44: {'Acceleration': '(-0.03735352, -0.0291748, 1.016724)', 'Roll': '2.104049', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.642539'}
2022-05-26 08:09:45: {'Acceleration': '(-0.03881836, -0.02490234, 1.019043)', 'Roll': '2.181511', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.398844'}
2022-05-26 08:09:46: {'Acceleration': '(-0.03771973, -0.02783203, 1.015991)', 'Roll': '2.126189', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.568087'}
2022-05-26 08:09:48: {'Acceleration': '(-0.0378418, -0.0291748, 1.018311)', 'Roll': '2.128209', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '1.639955'}
