Testing SD card write operations: 2022-06-30 08:16:34
2022-06-30 08:17:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e276c1f420b3fa15d9e05ebf38ada6314a2ecb54f7ca7491e7f902aa', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 08:17:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e276c1f420b3fa15d9e05ebf38ada6314a2ecb54f7ca7491e7f902aa', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 08:17:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '564b54168a03361e86daaab6cd8bd8b4cd8e1c99be1764e056675817', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-30 08:17:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c92a71f4e8eee690dea004c8d3ae8473aae4f2c3636c5661a9be1e38', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c92a71f4e8eee690dea004c8d3ae8473aae4f2c3636c5661a9be1e38', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e276c1f420b3fa15d9e05ebf38ada6314a2ecb54f7ca7491e7f902aa', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 08:17:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c92a71f4e8eee690dea004c8d3ae8473aae4f2c3636c5661a9be1e38', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e276c1f420b3fa15d9e05ebf38ada6314a2ecb54f7ca7491e7f902aa', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 08:17:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '700271c0150010bb90d1842ad0cf7ff66da139be923d49d493d35891', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
