Testing SD card write operations: 2023-01-26 14:39:40
2023-01-26 14:40:10: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '2b3767ecdc09d03f0c0fc493437e1629645d8da29ff0f3accc8050c5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:10: {'name': None, 'adv_flag': 26, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e116f229eb0b184b1c8a2e8c1564ad92039fca2e89332ec19c517b07', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:11: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '46ef9b75c7530dbc5770eac0ec69e18103f7f802a48393a1d82736fe', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:12: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '5d43a8574f1fb7f9a5900e9fd984464fe188b0cd8b5222dabf3adc24', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:13: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '625ff23508e1c47dd7ff4c1ab1715bf6e57b29287e236c350b4d853c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:14: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0aa69bf96c794e9bee1429f6283a9812c5ad7571dd52ab652f01fd38', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:14: {'name': None, 'adv_flag': 26, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '54e80b57aa8025402d6325c10e11c235e600af6b773b7ef17dab0e83', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:15: {'name': None, 'adv_flag': 26, 'rssi': -93, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '67d8edb18f58886b5bccb5a381bebec4c78923595422b6ae7b666048', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:16: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '331515da24f60c4cf692fb44b244a795b0c44e97723d4c699b65fe1f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:17: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0aa69bf96c794e9bee1429f6283a9812c5ad7571dd52ab652f01fd38', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:18: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'de12d420f36411dbe954f4d69b07cd8d1bc3df702bc8e11f6c2aab98', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:18: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '47ab4ebcef1cebd68aa908623ac2cab9887c5bf1e9eb1fff6624e37a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:19: {'name': None, 'adv_flag': 26, 'rssi': -94, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e7e6a24f0a0c60640f2ea0204ea369294c944105cb035519b7a05815', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:20: {'name': None, 'adv_flag': None, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'f1798bf84f9bbaa87cc40d47782aad9370b8222f967dd807762f8d0d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:21: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'bf0353b8c11b9f3a39de21439d3ab4593067fb70104770928eb54062', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:21: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'de12d420f36411dbe954f4d69b07cd8d1bc3df702bc8e11f6c2aab98', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:22: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'bf0353b8c11b9f3a39de21439d3ab4593067fb70104770928eb54062', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:23: {'name': None, 'adv_flag': 26, 'rssi': -93, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd7194a97c14ce2f64dfe9a145dfd90b420583cc18383b6721ab57bdd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:24: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'b6b59f6ce5104dd6528b3ea657df514a3ad8aac06199c97b2db106e8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:25: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '850928c6052e7f02a9018726612b7a77ade6d35c154aaafa9094d928', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:25: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'de12d420f36411dbe954f4d69b07cd8d1bc3df702bc8e11f6c2aab98', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:26: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'bf0353b8c11b9f3a39de21439d3ab4593067fb70104770928eb54062', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:27: {'name': None, 'adv_flag': None, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e063e19465d00ade8c733b1c3f6adf14476fb4742a21928ac79fd495', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:28: {'name': None, 'adv_flag': 26, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '850928c6052e7f02a9018726612b7a77ade6d35c154aaafa9094d928', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:28: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '019c4c04e0bff046897093a001f012aa4ec331c1d2b23f41a7703e5a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:29: {'name': None, 'adv_flag': None, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'f1798bf84f9bbaa87cc40d47782aad9370b8222f967dd807762f8d0d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:30: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '3cf4f17ca1f5ee18d2ddbe96c839b99205a05821c809f85a98f1df60', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:31: {'name': None, 'adv_flag': None, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e063e19465d00ade8c733b1c3f6adf14476fb4742a21928ac79fd495', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:32: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6bc51ef60a412eeba4ed8b0d0007e5717d52343f77bd72e97f204d93', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:32: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 3, 'def_tx_pwr': 0, 'mac': 'cd08c3fe0ff17b7f052dd3465be6020adcadb72e59c7501168cbcf8b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:33: {'name': None, 'adv_flag': None, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'ca7d53fa8ab1848c19c9f5e1c1c4cd5e52b83a74b19da2c516f764f0', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:34: {'name': None, 'adv_flag': None, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e063e19465d00ade8c733b1c3f6adf14476fb4742a21928ac79fd495', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:35: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0aa69bf96c794e9bee1429f6283a9812c5ad7571dd52ab652f01fd38', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:35: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'b34d71a1651b4b6b95a506ae5c57bb37261abb9d3855b44345bd3490', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:36: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6bc51ef60a412eeba4ed8b0d0007e5717d52343f77bd72e97f204d93', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:37: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0aa69bf96c794e9bee1429f6283a9812c5ad7571dd52ab652f01fd38', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:38: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0aa69bf96c794e9bee1429f6283a9812c5ad7571dd52ab652f01fd38', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:39: {'name': None, 'adv_flag': None, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'c6b03e1fb7b089795f2405e95782da16d25f329718ce66ab6d81b24c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:39: {'name': None, 'adv_flag': 6, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '087254e528953acfcf1db9f21b59684e0b82af7c3c450ac6637608b7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:40: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'bf0353b8c11b9f3a39de21439d3ab4593067fb70104770928eb54062', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:41: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '84470df1026173d389342056fe1ff9e41e9f68e1bb3ecf1780e4208c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:42: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0370f9aa8f28a1857ab5a401c653431a556cd4042670fbb65bdd2dd0', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:42: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'b90d8b0b052b0cd0c42db660b698c521b8fbede5a92c8ba23b797dc3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:43: {'name': None, 'adv_flag': None, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e063e19465d00ade8c733b1c3f6adf14476fb4742a21928ac79fd495', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:44: {'name': None, 'adv_flag': 26, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '24201cfbc6892de1fb912998397c43b63eb7e4c8be8f68207ca556ce', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:45: {'name': None, 'adv_flag': 6, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '087254e528953acfcf1db9f21b59684e0b82af7c3c450ac6637608b7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:46: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'de12d420f36411dbe954f4d69b07cd8d1bc3df702bc8e11f6c2aab98', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:46: {'name': None, 'adv_flag': 26, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '7ea108be4d63e6301df677acab0b9360c958207a47ef2cf09cba13f5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:47: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'cbaf81ea14de088439d7c799db0feb8dcb7b4c5a30f748288374d188', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:48: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '7ea108be4d63e6301df677acab0b9360c958207a47ef2cf09cba13f5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:49: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0370f9aa8f28a1857ab5a401c653431a556cd4042670fbb65bdd2dd0', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:49: {'name': None, 'adv_flag': 6, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '37c6c98a87b2def394a3783acd33469f43d844e67ecc854a3af4f6db', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:50: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0370f9aa8f28a1857ab5a401c653431a556cd4042670fbb65bdd2dd0', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:51: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'b6b59f6ce5104dd6528b3ea657df514a3ad8aac06199c97b2db106e8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:52: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '5c498e09e99dad9033e8f85c5bb036aec2adb7ba725d3c0d5bb6da9d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
