Testing SD card write operations: 2022-09-13 17:38:34
2022-09-13 17:39:15: {'Acceleration': '(-0.3192139, 0.0168457, 0.9685059)', 'Roll': '18.03322', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.947533'}
2022-09-13 17:39:16: {'Acceleration': '(-0.3123779, 0.01525879, 0.9638672)', 'Roll': '18.13401', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.992909'}
2022-09-13 17:39:16: {'Acceleration': '(-0.3138428, 0.01696777, 0.9659424)', 'Roll': '17.86459', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.035415'}
2022-09-13 17:39:17: {'Acceleration': '(-0.317627, 0.01818848, 0.9609375)', 'Roll': '18.15078', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.03013'}
2022-09-13 17:39:18: {'Acceleration': '(-0.3161621, 0.01843262, 0.9719238)', 'Roll': '18.01946', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.065209'}
2022-09-13 17:39:19: {'Acceleration': '(-0.3135986, 0.0177002, 0.9703369)', 'Roll': '18.00547', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.07465'}
2022-09-13 17:39:20: {'Acceleration': '(-0.314209, 0.01904297, 0.9645996)', 'Roll': '18.04252', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.976025'}
2022-09-13 17:39:21: {'Acceleration': '(-0.3140869, 0.0177002, 0.9714355)', 'Roll': '17.91718', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.000513'}
2022-09-13 17:39:21: {'Acceleration': '(-0.3155518, 0.01550293, 0.9698486)', 'Roll': '18.02291', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.8765448'}
2022-09-13 17:39:22: {'Acceleration': '(-0.3139648, 0.01818848, 0.9677734)', 'Roll': '17.97408', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.024163'}
2022-09-13 17:39:23: {'Acceleration': '(-0.3165283, 0.01745605, 0.9645996)', 'Roll': '18.16698', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9850808'}
2022-09-13 17:39:24: {'Acceleration': '(-0.3156738, 0.0168457, 0.9705811)', 'Roll': '18.01671', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9437714'}
2022-09-13 17:39:25: {'Acceleration': '(-0.3145752, 0.0177002, 0.9691162)', 'Roll': '17.98343', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.995241'}
2022-09-13 17:39:26: {'Acceleration': '(-0.3138428, 0.01831055, 0.9676514)', 'Roll': '17.96967', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.031191'}
2022-09-13 17:39:26: {'Acceleration': '(-0.3162842, 0.01733398, 0.9688721)', 'Roll': '18.07905', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.97437'}
