Testing SD card write operations: 2022-07-03 10:15:04
2022-07-03 10:15:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecf4cdfa544ae9545cbb7a441ea4705913933fa50ae585b1c2ea106c8ebd9595', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86933c01763d01ccb7b0a521cf108fad39e5ddbeb0825e3122714f97f13b2d39', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:15:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd76b688d1f44851399883cb4229b742ccc0c6915dfd1ea9e161dd1e2529ee79e', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3cd2c821d00030b88373a8a12c874ecdf9f471344af1f25b04528b486e5ad45a', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 10:15:50: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6c916110477c4682e56441f933f338307f60fe732f9fa254525e0a4f0a0d1a47', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecf4cdfa544ae9545cbb7a441ea4705913933fa50ae585b1c2ea106c8ebd9595', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'eb17af69ecef016424672518f733c02187c7548ad5071a91205129e8267dc633', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '31726e7655150e8a9324db49936bd2270580a9ef91c4caa20f2970ad8b2ded7b', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:15:53: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '4a5c52aaeef69bbf670204eef7358b6c9628d49ecbbf708a1a24ccafaa273c5d', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7da55c96f8dcd63b92ed93b723aae50d935a24f3c6190643ed40044d682ba76', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0feb61cfe6f6e389ffe565aa8becf117840d8b1742ef5a219168335c04f89337', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecf4cdfa544ae9545cbb7a441ea4705913933fa50ae585b1c2ea106c8ebd9595', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2338c0b22419b0a0c19e88d2cfeef0c87535e1cab8b8cef27b5fde4898284995', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '603582249ce19d728f54eef4fcf59be0bda28406f570f5a85cf62e6815da62a4', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:59: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '4a5c52aaeef69bbf670204eef7358b6c9628d49ecbbf708a1a24ccafaa273c5d', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3cd2c821d00030b88373a8a12c874ecdf9f471344af1f25b04528b486e5ad45a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-03 10:16:00: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6c916110477c4682e56441f933f338307f60fe732f9fa254525e0a4f0a0d1a47', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecf4cdfa544ae9545cbb7a441ea4705913933fa50ae585b1c2ea106c8ebd9595', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7da55c96f8dcd63b92ed93b723aae50d935a24f3c6190643ed40044d682ba76', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2338c0b22419b0a0c19e88d2cfeef0c87535e1cab8b8cef27b5fde4898284995', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2338c0b22419b0a0c19e88d2cfeef0c87535e1cab8b8cef27b5fde4898284995', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3cd2c821d00030b88373a8a12c874ecdf9f471344af1f25b04528b486e5ad45a', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-03 10:16:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e36d4032d122ae94092e28c6952e36d9581deb5acc7888cc4957358820a3772b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:16:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86933c01763d01ccb7b0a521cf108fad39e5ddbeb0825e3122714f97f13b2d39', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:16:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'eb17af69ecef016424672518f733c02187c7548ad5071a91205129e8267dc633', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'eb17af69ecef016424672518f733c02187c7548ad5071a91205129e8267dc633', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:12: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '4a5c52aaeef69bbf670204eef7358b6c9628d49ecbbf708a1a24ccafaa273c5d', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2338c0b22419b0a0c19e88d2cfeef0c87535e1cab8b8cef27b5fde4898284995', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7da55c96f8dcd63b92ed93b723aae50d935a24f3c6190643ed40044d682ba76', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:16:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:16:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3cd2c821d00030b88373a8a12c874ecdf9f471344af1f25b04528b486e5ad45a', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
