Testing SD card write operations: 2022-07-07 10:00:46
2022-07-07 10:01:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cbcdcced4bf6c992ecdef0dc02d4ad697a36c25581278f4cdb8fe552cbf19c2d', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '816af6d20fa962066908514c5f6d0e0c875d4bef3d40504300b005ab4a6aeb10', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 10:01:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e31694c3b76ac0b7975b923e7d6f8b058d22c3c2e7f0604620aef16a87b71da3', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:24: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'f6314be20781fd5fb7ce1e021ce5f7f2fdaf59cb9904634ffa119448338bb315', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '293a6217dff8e4f1ceb6535c0497ca01e10632ad214cfeee71d21e8025c4f3c9', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:26: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'f6314be20781fd5fb7ce1e021ce5f7f2fdaf59cb9904634ffa119448338bb315', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0d4ba88980cf95713e076a6e7f9df21b41d99b2c3e5f36d36bcae27d7aa0738a', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 10:01:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e31694c3b76ac0b7975b923e7d6f8b058d22c3c2e7f0604620aef16a87b71da3', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a318e076cc2bc0c75c0a6868751943753ca78b9fe95056f8dc139e38035571d6', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '293a6217dff8e4f1ceb6535c0497ca01e10632ad214cfeee71d21e8025c4f3c9', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cc5b9e652287c3b33c04c9d5b2ea77251eb76191a98c0db3449325c1b812321c', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e31694c3b76ac0b7975b923e7d6f8b058d22c3c2e7f0604620aef16a87b71da3', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:38: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'b5c8f400dbffee19838228541059e83bfd63b91a24426ee2f8ef85bcaebe69c7', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e31694c3b76ac0b7975b923e7d6f8b058d22c3c2e7f0604620aef16a87b71da3', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cbcdcced4bf6c992ecdef0dc02d4ad697a36c25581278f4cdb8fe552cbf19c2d', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cbcdcced4bf6c992ecdef0dc02d4ad697a36c25581278f4cdb8fe552cbf19c2d', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c6ef3ca358d592186129278f7fca19dd9612e722772e787df58e8aa3844bc493', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:45: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '075b37fdeda4fa0d5fded496037913dbcce8328e6bdafc3a6962cee777667f63', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '293a6217dff8e4f1ceb6535c0497ca01e10632ad214cfeee71d21e8025c4f3c9', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c6ef3ca358d592186129278f7fca19dd9612e722772e787df58e8aa3844bc493', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:49: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'b5c8f400dbffee19838228541059e83bfd63b91a24426ee2f8ef85bcaebe69c7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e31694c3b76ac0b7975b923e7d6f8b058d22c3c2e7f0604620aef16a87b71da3', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c8aca565ac8a715680bd0866e70e1b9ad00bad154c9a50ec2fb02f4129bf910e', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '293a6217dff8e4f1ceb6535c0497ca01e10632ad214cfeee71d21e8025c4f3c9', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:54: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'b5c8f400dbffee19838228541059e83bfd63b91a24426ee2f8ef85bcaebe69c7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '293a6217dff8e4f1ceb6535c0497ca01e10632ad214cfeee71d21e8025c4f3c9', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
