Testing SD card write operations: 2022-07-06 13:31:32
2022-07-06 13:34:13: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-06 13:34:13: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 13:34:15: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-06 13:34:15: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 13:34:17: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-06 13:34:17: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-85}
2022-07-06 13:34:23: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-06 13:34:23: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-06 13:34:24: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-06 13:34:24: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-06 13:34:26: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-06 13:34:28: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-06 13:34:28: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-77}
2022-07-06 13:34:30: {'ssid':'M42', 'bssid':'91a6120d82685663b4804ac13683f051621df20cee183f346d422ad7', 'sec':3, 'channel':6, 'rssi':-91}
2022-07-06 13:34:32: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-06 13:34:32: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 13:34:32: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-91}
2022-07-06 13:34:34: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-06 13:34:34: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-68}
2022-07-06 13:34:34: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-06 13:34:36: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-06 13:34:36: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-66}
2022-07-06 13:34:37: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-54}
