Testing SD card write operations: 2022-07-06 13:31:32
2022-07-06 13:31:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c25c5f76059710faa10cd5f7b1c3cedffc1ae7d30718b7ad056ba095', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:31:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4b1fb693228c8fa0c68507bc98cfe7089316261a8d8e00a708f6ea90', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd62c9381c84372ef3cd7257abb3f6cb0aa92df0cf91ad2f5010476f', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9d87744ca23551686880a9247262654ddb37c7e92c3d6689bfec6820', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e586133031babec23301bdd75bba7e990c1705c7732540599340716', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc1d470fba2b49ba0bdfbd985cf0c787deeae357eb6c48682b32c6e9', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '32e7a30bc23ac5ee34c2ee3ff67882706916b01e005ca1d43d4da729', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e586133031babec23301bdd75bba7e990c1705c7732540599340716', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '32e7a30bc23ac5ee34c2ee3ff67882706916b01e005ca1d43d4da729', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '32e7a30bc23ac5ee34c2ee3ff67882706916b01e005ca1d43d4da729', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c25c5f76059710faa10cd5f7b1c3cedffc1ae7d30718b7ad056ba095', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e3d8e1b16b48dcae24263654f4fdf161082a63324a2c6cc23d6eaa8e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:32:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0423adf322671a24a4d7c3444d1ecfa642d0caef9d083ab35d3760', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '14a38ac95229239286ca90bdaece6ccd43b010d0a2972e4a1b545ba4', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3fca6d970e77ea9df0b62f20cc3ea9872cfda3fb6f07eca1adfd4701', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-06 13:32:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c25c5f76059710faa10cd5f7b1c3cedffc1ae7d30718b7ad056ba095', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc72a1caac963769f0d56c23be5b60ab3b6f06598e5ade22470f933d', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1dab03774602bcf7c348b069a98970b664d8688971f3ac205973d9ed', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '890242871dc1173247fe4dd4db0d6ef0c94f3a6d2f0f927286e0b0a0', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '57970b24f6e5a2d7c4b4704c00217739700b4a355c21ff30944699e5', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:32:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc72a1caac963769f0d56c23be5b60ab3b6f06598e5ade22470f933d', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7efcbf99423638f131b0d325e7e38023a60e00c93f84bdc937d717cf', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3fca6d970e77ea9df0b62f20cc3ea9872cfda3fb6f07eca1adfd4701', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-06 13:32:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '57970b24f6e5a2d7c4b4704c00217739700b4a355c21ff30944699e5', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:32:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a230f257b9e7d278b476744e7eb9ec0f0e2b63a6e3ffddde8170872e', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aaa4ae2ff531e342ce4354008a8877a78e95df64256e9982cd54fd73', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:19: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': 'e786d77620e8654d609ca945249034ed6d0601146394e04bf26127cc', 'rssi': -92, 'name': 'Mb41', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -10, 'adv_tx_pwr': 3}
2022-07-06 13:32:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '91704ebd577a28fdab1f09106f4af3e3a66dca5edf074c2f935e7487', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '91704ebd577a28fdab1f09106f4af3e3a66dca5edf074c2f935e7487', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e01e928149a10fdb444e9f5c92df1c11fdceb51de9a3a3ff6105968e', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e586133031babec23301bdd75bba7e990c1705c7732540599340716', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05c249ec9863dd3b61da7b734f00a6407d02177b14b4df8adebe9253', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd62c9381c84372ef3cd7257abb3f6cb0aa92df0cf91ad2f5010476f', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f9d8f1b145b697882ae1533a298be511d3fb8983e4798609a6e91ad3', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '890242871dc1173247fe4dd4db0d6ef0c94f3a6d2f0f927286e0b0a0', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
