Testing SD card write operations: 2023-01-10 12:13:53
2023-01-10 12:14:29: {'name': None, 'adv_flag': None, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:30: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '672f0e8d59cbdec2500ba1d400d1ba6251e108903a2914ca7840076d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:30: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:31: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '2387e6319ea51f06bca53fd771d0f904bd4301c1f4a96249e641f28b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:32: {'name': None, 'adv_flag': None, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:33: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'b46fbd591c7e70e57b430ab4047af9fbff705c88d77fb5e8d1a583db', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:34: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '337d7f74731c9960ac9dc08a57558e38a8f3d1b5dca7fe5d7c37c2ae', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:34: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '2387e6319ea51f06bca53fd771d0f904bd4301c1f4a96249e641f28b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:35: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '2387e6319ea51f06bca53fd771d0f904bd4301c1f4a96249e641f28b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:36: {'name': None, 'adv_flag': None, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'c3ba91ef089b279c03b6e6a533827d13b8ee2482f1924346291737e3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:37: {'name': None, 'adv_flag': None, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:37: {'name': None, 'adv_flag': None, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:38: {'name': None, 'adv_flag': None, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd23823b5e62603c10a750add13f82b2c054d14e37dc61e0258a92ba7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:39: {'name': None, 'adv_flag': None, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:40: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '672f0e8d59cbdec2500ba1d400d1ba6251e108903a2914ca7840076d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:41: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:41: {'name': None, 'adv_flag': None, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:42: {'name': None, 'adv_flag': None, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:43: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '672f0e8d59cbdec2500ba1d400d1ba6251e108903a2914ca7840076d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:44: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '337d7f74731c9960ac9dc08a57558e38a8f3d1b5dca7fe5d7c37c2ae', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:44: {'name': None, 'adv_flag': None, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:45: {'name': None, 'adv_flag': None, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '61a058fe9a09a7d5288306469a29b0b3d5401cec52f4251f3dd01972', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:46: {'name': None, 'adv_flag': None, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:47: {'name': None, 'adv_flag': None, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:48: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:48: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:49: {'name': None, 'adv_flag': None, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:50: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:51: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:51: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:52: {'name': None, 'adv_flag': None, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:53: {'name': None, 'adv_flag': None, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd23823b5e62603c10a750add13f82b2c054d14e37dc61e0258a92ba7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:54: {'name': None, 'adv_flag': None, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:54: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:55: {'name': None, 'adv_flag': 26, 'rssi': -32, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '894970f70d38df130afdabe5e4dde6cc5bddc27e9e0d847582afdce1', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
