Testing SD card write operations: 2022-07-08 21:49:25
2022-07-08 21:50:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7a9d294c56601ad51b87f5cd81b1d220c91ad1d5bf17c25162d6796c56f3fed', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '66aa7b856743897eddfb9b5f4de9921f2ef08a7cfc924be260cef44428eaae52', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:05: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '408faa3cfa4d5cf6b965a890f47e879a39e74ae7f296437fb185c3c6b09830ec', 'rssi': -73, 'name': 'Tb103', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -20, 'adv_tx_pwr': 3}
2022-07-08 21:50:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '781ed21433f6e9a23f52e282b80dcb04d8d00de192ba9e238ed74dbb81fe24a8', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:50:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '98cc61d55eb8d7bcb9282cfa78f55ba0bde151b0b9bf8e77e810dd6274526032', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:50:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1d9a550857b851d45acfdd4ac87c8ec737c22a5b2e0ecdeed09ae2b406dbf80a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '98cc61d55eb8d7bcb9282cfa78f55ba0bde151b0b9bf8e77e810dd6274526032', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:50:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ceaabddc581ea8414dedc1dba2d2097ab22029039a40f24318698640c87f381', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:50:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '781ed21433f6e9a23f52e282b80dcb04d8d00de192ba9e238ed74dbb81fe24a8', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6422c0afab7031d06b8c9ffeb25bef4de8e1363c14b0073f98eb28f37d802bbf', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '781ed21433f6e9a23f52e282b80dcb04d8d00de192ba9e238ed74dbb81fe24a8', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6422c0afab7031d06b8c9ffeb25bef4de8e1363c14b0073f98eb28f37d802bbf', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3ece0c8ff6c955a0fbe6cdd72504b40ec7aaa1467e28c500a6d3c3c54b93aa', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
