Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:24:46: {'ssid':'M33', 'bssid':'e2122deec662ef03d5b7edd93f62fa6d3b1ec3d02d89abe147be4203e1f879bf', 'sec':3, 'channel':11, 'rssi':-62}
2022-07-08 21:24:52: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-08 21:24:53: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 21:24:55: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:24:57: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:24:59: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-08 21:25:01: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 21:25:03: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:25:05: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-08 21:25:06: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:25:08: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:25:10: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:25:12: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-08 21:25:14: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 21:25:16: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:25:18: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-08 21:25:19: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 21:25:21: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 21:25:23: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-08 21:25:25: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-08 21:25:27: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 21:25:29: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 21:25:31: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 21:25:32: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-49}
