Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:23:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1264468bb38bfdbdafec9a1554d7598f0f9e28e12911d9e386e008e825450abc', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:23:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44e8990f27dfdc335b7f3e8cd1724aab902578b2f36d4dfab8c74a68dacd4d99', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:23:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '30afa34b62b0864a285d4aa70e68d18cc548237dfa7def5de2fb03c7978138b2', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:23:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '120f37ba06ec18ac3a7c3f333c9387043dc6b2a9ace450a54ef2a935404191e5', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:23:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9f03751193a4d6a54601c2ee093f2f41deea45c4d3c7de821820012b4bf14902', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:23:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '30afa34b62b0864a285d4aa70e68d18cc548237dfa7def5de2fb03c7978138b2', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:23:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '457d94d6a8cd6ef93838f26b66c31d49e83099fefecea39c10607905d102a6e0', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '17574268dd9d0bdf84abc3bf2f15db103aece1de22035b2b51a24011a96c46d6', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a71c1b78a93182b4139901e251c086d10a440a9e53de6182e6654f14b5b2cbf4', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '392cb0d5acc291a4f1abded8acaf0e11044bb0d2724aec7280b5933d9071bb2f', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
