Testing SD card write operations: 2022-07-08 21:23:22
2022-07-08 21:24:33: {'Acceleration': '(-0.5062256, -0.4291992, 0.7943115)', 'Roll': '32.3443', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '24.31757'}
2022-07-08 21:24:34: {'Acceleration': '(-0.4694824, -0.4464111, 0.795166)', 'Roll': '30.55848', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '25.80065'}
2022-07-08 21:24:35: {'Acceleration': '(-0.4787598, -0.4488525, 0.774292)', 'Roll': '31.7293', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '25.76206'}
2022-07-08 21:24:35: {'Acceleration': '(-0.4855957, -0.4383545, 0.77771)', 'Roll': '31.98032', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '25.3989'}
2022-07-08 21:24:36: {'Acceleration': '(-0.4810791, -0.4451904, 0.7763672)', 'Roll': '31.67729', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '26.03508'}
2022-07-08 21:24:37: {'Acceleration': '(-0.4846191, -0.4438477, 0.7792969)', 'Roll': '31.87612', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '25.81102'}
2022-07-08 21:24:38: {'Acceleration': '(-0.5688477, -0.3422852, 0.8303223)', 'Roll': '34.41475', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '18.78204'}
2022-07-08 21:24:39: {'Acceleration': '(-0.4628906, -0.4571533, 0.7885742)', 'Roll': '30.4128', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '26.79819'}
2022-07-08 21:24:40: {'Acceleration': '(-0.4345703, -0.4650879, 0.7943115)', 'Roll': '28.33645', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '27.26492'}
2022-07-08 21:24:41: {'Acceleration': '(-0.4621582, -0.4605713, 0.7901611)', 'Roll': '30.8235', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '26.8547'}
2022-07-08 21:24:42: {'Acceleration': '(-0.463501, -0.435791, 0.7904053)', 'Roll': '30.38775', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '25.18814'}
2022-07-08 21:24:42: {'Acceleration': '(-0.4417725, -0.4567871, 0.8236084)', 'Roll': '29.47253', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '24.43364'}
2022-07-08 21:24:43: {'Acceleration': '(-0.3106689, -0.4291992, 0.8875732)', 'Roll': '22.6434', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '22.44218'}
2022-07-08 21:24:44: {'Acceleration': '(-0.2390137, -0.331543, 0.6928711)', 'Roll': '19.03245', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '24.33952'}
2022-07-08 21:24:45: {'Acceleration': '(-0.4658203, -0.4327393, 0.947876)', 'Roll': '26.17116', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '26.11706'}
2022-07-08 21:24:46: {'Acceleration': '(-0.4025879, -0.3355713, 0.9033203)', 'Roll': '24.02137', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '19.97107'}
2022-07-08 21:24:47: {'Acceleration': '(-0.34375, -0.3634033, 0.7661133)', 'Roll': '20.48127', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '18.62815'}
2022-07-08 21:24:48: {'Acceleration': '(-0.2426758, -0.394043, 1.124512)', 'Roll': '12.17798', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '18.90772'}
2022-07-08 21:24:49: {'Acceleration': '(0.07434082, -0.1745605, 0.8696289)', 'Roll': '-4.886089', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.30996'}
2022-07-08 21:24:49: {'Acceleration': '(0.2510986, -0.1942139, 1.038086)', 'Roll': '-13.59787', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '13.60729'}
2022-07-08 21:24:50: {'Acceleration': '(0.2564697, -0.2106934, 0.9748535)', 'Roll': '-14.73968', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '17.20898'}
2022-07-08 21:24:51: {'Acceleration': '(0.3848877, -0.2625732, 0.9243164)', 'Roll': '-20.30503', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '14.731'}
