Testing SD card write operations: 2022-06-25 15:00:00
2022-06-25 15:00:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '985bb3d65c0e50459dbbfda1dde086bc5ed1dc84cd26aaccb04c9412', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'eabf95f58304b00a002a508232ee7e8b5ef0d6c24b4bd7997ec1627d', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'eabf95f58304b00a002a508232ee7e8b5ef0d6c24b4bd7997ec1627d', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:01:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:01:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45dae11e0c6919ff4b24bbc019c396d7085af5236673c3b8e612dfed', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:01:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45dae11e0c6919ff4b24bbc019c396d7085af5236673c3b8e612dfed', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:01:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0e96c672eaa75d193faeb36323bbcb276ded66fd5827444f46329f5f', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 15:01:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:01:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86b3d168beec9a6efa6c2d638b5e092d4bf3494245d307e48205712c', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:01:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86b3d168beec9a6efa6c2d638b5e092d4bf3494245d307e48205712c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:01:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f800e8a7a1b7a9c0bf56327255085c5773ea078e2718a41ed8d7739', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:01:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:01:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f800e8a7a1b7a9c0bf56327255085c5773ea078e2718a41ed8d7739', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:01:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cf5010c345cde956a84fa72e3929f921ef85e1a9fd7a18dafdbe9146', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:01:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f800e8a7a1b7a9c0bf56327255085c5773ea078e2718a41ed8d7739', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
