Testing SD card write operations: 2022-04-10 15:30:00
2022-04-10 15:30:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'568957f568b3', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'ecf0a534353e', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c7c7562e19f8', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c7c7562e19f8', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
