Testing SD card write operations: 2022-05-26 08:07:53
2022-05-26 08:08:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'177c0bbf42c1', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'52ef7675fdd5', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-26 08:08:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'177c0bbf42c1', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'52ef7675fdd5', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-26 08:08:27: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -77, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:28: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -81, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:29: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -70, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
