Testing SD card write operations: 2022-07-02 10:05:50
2022-07-02 10:06:22: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-76}
2022-07-02 10:06:22: {'ssid':'H515', 'bssid':'d6d59d2f74beef434077d3d0ef8d3d703b292c80a2115986c5add4ff', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-02 10:06:22: {'ssid':'H57', 'bssid':'c3c9d7dee6c1ead4f52ad3da44a3980d3f6276594967ef4b75811042', 'sec':5, 'channel':11, 'rssi':-86}
2022-07-02 10:06:22: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-86}
2022-07-02 10:06:22: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-86}
2022-07-02 10:06:22: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-87}
2022-07-02 10:06:24: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-64}
2022-07-02 10:06:24: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-76}
2022-07-02 10:06:24: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-02 10:06:24: {'ssid':'H515', 'bssid':'d6d59d2f74beef434077d3d0ef8d3d703b292c80a2115986c5add4ff', 'sec':3, 'channel':11, 'rssi':-83}
2022-07-02 10:06:24: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-86}
2022-07-02 10:06:24: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-87}
2022-07-02 10:06:24: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-88}
2022-07-02 10:06:24: {'ssid':'H59', 'bssid':'10aec02c37e216a1505aaca7b1cbeda05433dbae315c986195649a67', 'sec':3, 'channel':1, 'rssi':-93}
2022-07-02 10:06:24: {'ssid':'H517', 'bssid':'aa02c80f762db3958e456155b66fe100a435a608c1e2a632c8e3beb1', 'sec':2, 'channel':11, 'rssi':-96}
2022-07-02 10:06:26: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-66}
2022-07-02 10:06:26: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-76}
2022-07-02 10:06:26: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-02 10:06:26: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-81}
2022-07-02 10:06:26: {'ssid':'H511', 'bssid':'20df1e8cab895133cb9ae94d2ecddfa4f274cd98425f9b09c6be1bd0', 'sec':4, 'channel':6, 'rssi':-86}
2022-07-02 10:06:28: {'ssid':'H515', 'bssid':'d6d59d2f74beef434077d3d0ef8d3d703b292c80a2115986c5add4ff', 'sec':3, 'channel':11, 'rssi':-82}
2022-07-02 10:06:28: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-83}
2022-07-02 10:06:28: {'ssid':'H510', 'bssid':'928853c4dfa7a47a257200c2f0fc78613ef108f63ca02056addd38a8', 'sec':1, 'channel':11, 'rssi':-85}
2022-07-02 10:06:28: {'ssid':'H59', 'bssid':'10aec02c37e216a1505aaca7b1cbeda05433dbae315c986195649a67', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-02 10:06:28: {'ssid':'H57', 'bssid':'f5dc10a759e550e22d8cca69e3f305111d934e744eece76e44c0e9de', 'sec':5, 'channel':2, 'rssi':-92}
2022-07-02 10:06:30: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-68}
2022-07-02 10:06:30: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-76}
2022-07-02 10:06:30: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-02 10:06:30: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-81}
2022-07-02 10:06:30: {'ssid':'H515', 'bssid':'d6d59d2f74beef434077d3d0ef8d3d703b292c80a2115986c5add4ff', 'sec':3, 'channel':11, 'rssi':-82}
2022-07-02 10:06:30: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-87}
2022-07-02 10:06:32: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-68}
2022-07-02 10:06:32: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-76}
2022-07-02 10:06:32: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-02 10:06:32: {'ssid':'H515', 'bssid':'d6d59d2f74beef434077d3d0ef8d3d703b292c80a2115986c5add4ff', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-02 10:06:32: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-02 10:06:34: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-67}
2022-07-02 10:06:34: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-76}
2022-07-02 10:06:34: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-77}
2022-07-02 10:06:34: {'ssid':'H57', 'bssid':'c3c9d7dee6c1ead4f52ad3da44a3980d3f6276594967ef4b75811042', 'sec':5, 'channel':11, 'rssi':-85}
