Testing SD card write operations: 2022-08-13 13:20:42
2022-08-13 13:22:12: {'Acceleration': '(0.1419678, -0.1864014, 0.9746094)', 'Roll': '-8.287775', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '10.71705'}
2022-08-13 13:22:12: {'Acceleration': '(0.1706543, -0.1630859, 0.9996338)', 'Roll': '-9.661335', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '9.463916'}
2022-08-13 13:22:13: {'Acceleration': '(0.1444092, -0.1756592, 0.9847412)', 'Roll': '-8.342778', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '10.00925'}
2022-08-13 13:22:14: {'Acceleration': '(0.1501465, -0.1855469, 0.9781494)', 'Roll': '-8.880227', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.1981'}
2022-08-13 13:22:15: {'Acceleration': '(0.142334, -0.1888428, 0.9772949)', 'Roll': '-8.286342', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '10.82502'}
2022-08-13 13:22:16: {'Acceleration': '(0.144043, -0.1798096, 0.9782715)', 'Roll': '-8.376177', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '10.56239'}
2022-08-13 13:22:17: {'Acceleration': '(0.1442871, -0.1870117, 0.9688721)', 'Roll': '-8.470393', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.8314'}
2022-08-13 13:22:18: {'Acceleration': '(0.1378174, -0.1843262, 0.9761963)', 'Roll': '-8.134114', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.53278'}
2022-08-13 13:22:18: {'Acceleration': '(0.1408691, -0.1903076, 0.9780273)', 'Roll': '-8.196169', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.90143'}
2022-08-13 13:22:19: {'Acceleration': '(0.1434326, -0.1860352, 0.977417)', 'Roll': '-8.348374', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '10.66485'}
2022-08-13 13:22:20: {'Acceleration': '(0.1435547, -0.1828613, 0.9781494)', 'Roll': '-8.349211', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.62637'}
2022-08-13 13:22:21: {'Acceleration': '(0.145752, -0.1811523, 0.984375)', 'Roll': '-8.227561', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.32234'}
2022-08-13 13:22:22: {'Acceleration': '(0.1456299, -0.1833496, 0.9815674)', 'Roll': '-8.470251', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '10.52216'}
2022-08-13 13:22:23: {'Acceleration': '(0.1456299, -0.1851807, 0.9854736)', 'Roll': '-8.406134', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.5306'}
2022-08-13 13:22:24: {'Acceleration': '(0.1472168, -0.1812744, 0.9781494)', 'Roll': '-8.559085', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.38479'}
2022-08-13 13:22:25: {'Acceleration': '(0.1486816, -0.1813965, 0.9859619)', 'Roll': '-8.575507', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.31062'}
