Testing SD card write operations: 2022-08-13 13:20:33
2022-08-13 13:21:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cd1bf5e64ccb660014daad0cba6057e68ca4d1ce896458f8b0982f90', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-08-13 13:21:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cd1bf5e64ccb660014daad0cba6057e68ca4d1ce896458f8b0982f90', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-08-13 13:21:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
