Testing SD card write operations: 2022-09-15 10:12:22
2022-09-15 10:13:06: {'Acceleration': '(-0.2070313, -0.001708984, 1.001221)', 'Roll': '11.6829', 'battery_voltage': 4.044409, 'battery_percentage': 37.77416, 'Pitch': '0.09577207'}
2022-09-15 10:13:07: {'Acceleration': '(-0.2001953, -0.0007324219, 0.9946289)', 'Roll': '11.38023', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.04136178'}
2022-09-15 10:13:08: {'Acceleration': '(-0.2054443, 0.0006103516, 1.000122)', 'Roll': '11.60818', 'battery_voltage': 4.044409, 'battery_percentage': 37.77416, 'Pitch': '-0.03425111'}
2022-09-15 10:13:08: {'Acceleration': '(-0.2064209, 0.002075195, 1.009644)', 'Roll': '11.55484', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.1153774'}
2022-09-15 10:13:09: {'Acceleration': '(-0.2037354, 0.002685547, 1.001709)', 'Roll': '11.49645', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.1505258'}
2022-09-15 10:13:10: {'Acceleration': '(-0.1981201, -0.0006103516, 0.9906006)', 'Roll': '11.30993', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.03461683'}
2022-09-15 10:13:11: {'Acceleration': '(-0.2008057, -0.0002441406, 1.00354)', 'Roll': '11.54295', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.01365697'}
2022-09-15 10:13:12: {'Acceleration': '(-0.2050781, 0.0004882813, 0.9986572)', 'Roll': '11.60458', 'battery_voltage': 4.044409, 'battery_percentage': 37.77416, 'Pitch': '-0.02744144'}
2022-09-15 10:13:13: {'Acceleration': '(-0.1965332, -0.0007324219, 0.9996338)', 'Roll': '11.12278', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.04119149'}
2022-09-15 10:13:13: {'Acceleration': '(-0.2006836, -0.0006103516, 0.9981689)', 'Roll': '11.36786', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.0343474'}
2022-09-15 10:13:14: {'Acceleration': '(-0.2022705, -0.0007324219, 1.000488)', 'Roll': '11.42953', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.0411124'}
2022-09-15 10:13:15: {'Acceleration': '(-0.2036133, -0.001098633, 0.99646)', 'Roll': '11.54865', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.06189174'}
