Testing SD card write operations: 2022-07-06 14:08:49
2022-07-06 14:09:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b88ca35daf72f8c8d8e1833efa6b975f6cfaaa91a3e725c32bb8267fc524363b', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:09:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2d8055792ee53c75021159015e35cd7c0310a8ed443e0bf6770c82106c30eaf', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '0615756e41fc2c47df8238652bc0a2c3cce8499fa0e649ba08e15f27b60b722c', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f878cf4ddd702937e3ffa1c8c393e2364b6573c6f2ee613c4a023ac841ced8df', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:09:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2d8055792ee53c75021159015e35cd7c0310a8ed443e0bf6770c82106c30eaf', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2d8055792ee53c75021159015e35cd7c0310a8ed443e0bf6770c82106c30eaf', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
