Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:17:56: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:17:58: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:18:00: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-38}
2022-06-25 14:18:02: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:18:04: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:18:06: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:18:08: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 14:18:08: {'ssid':'BS21', 'bssid':'258bc5ec68278057bb089640774f3fc43509349a3fbd49ab45eb7ea9', 'sec':2, 'channel':1, 'rssi':-93}
2022-06-25 14:18:09: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-25 14:18:11: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-25 14:18:13: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:18:15: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-25 14:18:17: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-25 14:18:19: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:18:21: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 14:18:22: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:18:24: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-34}
2022-06-25 14:18:26: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:18:28: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-34}
2022-06-25 14:18:30: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-25 14:18:32: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-25 14:18:33: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-25 14:18:35: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-25 14:18:37: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:18:39: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-25 14:18:41: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:18:43: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:18:45: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:18:46: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-38}
2022-06-25 14:18:48: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:18:48: {'ssid':'BS21', 'bssid':'258bc5ec68278057bb089640774f3fc43509349a3fbd49ab45eb7ea9', 'sec':2, 'channel':1, 'rssi':-90}
2022-06-25 14:18:50: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:18:52: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-25 14:18:54: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-25 14:18:56: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:18:57: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:18:59: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-34}
2022-06-25 14:19:01: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-25 14:19:03: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:19:07: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:19:09: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-34}
